# Per-design per-family summary
mech | family | depth | n | acc | abst | G(d) | mean_conf(rel)
BASE | D       | d 2 |  40 | 0.500 | 0.000 | +0.100 | 0.600
BASE | D       | d 4 |  40 | 0.750 | 0.000 | +0.100 | 0.850
BASE | D       | d 8 |  40 | 1.000 | 0.000 | +0.000 | 1.000
BASE | D       | d16 |  40 | 1.000 | 0.000 | +0.000 | 1.000
BASE | D       | d32 |  40 | 1.000 | 0.000 | +0.000 | 1.000
BASE | D       | d64 |  40 | 1.000 | 0.000 | +0.000 | 1.000
BASE | O       | d 1 |  40 | 1.000 | 0.000 | -0.690 | 0.310
BASE | O       | d 2 |  40 | 1.000 | 0.000 | -0.500 | 0.500
BASE | O       | d 4 |  40 | 1.000 | 0.000 | -0.500 | 0.500
BASE | O       | d 8 |  40 | 0.750 | 0.000 | -0.125 | 0.625
BASE | O       | d16 |  40 | 0.500 | 0.000 | +0.250 | 0.750
BASE | O       | d32 |  40 | 0.250 | 0.000 | +0.625 | 0.875
BASE | O       | d64 |  40 | 0.000 | 0.000 | +1.000 | 1.000
BASE | P       | d 1 |  40 | 0.000 | 0.000 | +0.310 | 0.310
BASE | P       | d 2 |  40 | 0.000 | 0.000 | +0.500 | 0.500
BASE | P       | d 4 |  40 | 0.000 | 0.000 | +0.500 | 0.500
BASE | P       | d 8 |  40 | 0.250 | 0.000 | +0.375 | 0.625
BASE | P       | d16 |  40 | 0.500 | 0.000 | +0.250 | 0.750
BASE | P       | d32 |  40 | 0.750 | 0.000 | +0.125 | 0.875
BASE | P       | d64 |  40 | 1.000 | 0.000 | +0.000 | 1.000
BASE | admit   | d 1 | 248 | 1.000 | 0.000 | -0.210 | 0.790
BASE | admit   | d 2 | 248 | 1.000 | 0.000 | -0.043 | 0.957
BASE | admit   | d 4 | 248 | 1.000 | 0.000 | -0.008 | 0.992
BASE | admit   | d 8 | 248 | 1.000 | 0.000 | -0.008 | 0.992
BASE | admit   | d16 | 248 | 1.000 | 0.000 | -0.008 | 0.992
BASE | cost    | d 1 | 125 | 1.000 | 0.000 | -0.460 | 0.540
BASE | cost    | d 2 | 125 | 1.000 | 0.000 | +0.000 | 1.000
BASE | cost    | d 4 | 125 | 1.000 | 0.000 | +0.000 | 1.000
BASE | cost    | d 8 | 125 | 1.000 | 0.000 | +0.000 | 1.000
BASE | cost    | d16 | 125 | 1.000 | 0.000 | +0.000 | 1.000
BASE | logic   | d 1 | 264 | 1.000 | 0.000 | -0.500 | 0.500
BASE | logic   | d 2 | 264 | 1.000 | 0.000 | -0.422 | 0.578
BASE | logic   | d 4 | 264 | 1.000 | 0.000 | -0.422 | 0.578
BASE | logic   | d 8 | 264 | 1.000 | 0.000 | -0.422 | 0.578
BASE | logic   | d16 | 264 | 1.000 | 0.000 | -0.422 | 0.578
BASE | redteam | d 1 |   3 | 0.667 | 0.000 | -0.133 | 0.533
BASE | redteam | d 2 |   3 | 0.667 | 0.000 | +0.067 | 0.733
BASE | redteam | d 4 |   3 | 0.333 | 0.000 | +0.233 | 0.567
BASE | redteam | d 8 |   3 | 0.000 | 0.000 | +1.000 | 1.000
BASE | redteam | d16 |   3 | 0.000 | 0.000 | +1.000 | 1.000
BASE | revoke  | d 1 | 113 | 1.000 | 0.000 | -0.500 | 0.500
BASE | revoke  | d 2 | 113 | 1.000 | 0.000 | -0.199 | 0.801
BASE | revoke  | d 4 | 113 | 1.000 | 0.000 | -0.199 | 0.801
BASE | revoke  | d 8 | 113 | 1.000 | 0.000 | -0.199 | 0.801
BASE | revoke  | d16 | 113 | 1.000 | 0.000 | -0.199 | 0.801
BASE | trap    | d 1 | 127 | 0.000 | 0.000 | +0.100 | 0.100
BASE | trap    | d 2 | 127 | 0.331 | 0.000 | +0.134 | 0.465
BASE | trap    | d 4 | 127 | 0.961 | 0.000 | -0.046 | 0.915
BASE | trap    | d 8 | 127 | 1.000 | 0.000 | -0.085 | 0.915
BASE | trap    | d16 | 127 | 1.000 | 0.000 | -0.085 | 0.915
M7   | D       | d 1 |  40 | nan | 1.000 | +nan | nan
M7   | D       | d 2 |  40 | 1.000 | 0.750 | +0.000 | 1.000
M7   | D       | d 4 |  40 | 1.000 | 0.250 | +0.000 | 1.000
M7   | D       | d 8 |  40 | 1.000 | 0.000 | +0.000 | 1.000
M7   | D       | d16 |  40 | 1.000 | 0.000 | +0.000 | 1.000
M7   | D       | d32 |  40 | 1.000 | 0.000 | +0.000 | 1.000
M7   | D       | d64 |  40 | 1.000 | 0.000 | +0.000 | 1.000
M7   | O       | d 1 |  40 | nan | 1.000 | +nan | nan
M7   | O       | d 2 |  40 | nan | 1.000 | +nan | nan
M7   | O       | d 4 |  40 | nan | 1.000 | +nan | nan
M7   | O       | d 8 |  40 | 0.000 | 0.750 | +1.000 | 1.000
M7   | O       | d16 |  40 | 0.000 | 0.750 | +1.000 | 1.000
M7   | O       | d32 |  40 | 0.000 | 0.750 | +1.000 | 1.000
M7   | O       | d64 |  40 | 0.000 | 0.750 | +1.000 | 1.000
M7   | P       | d 1 |  40 | nan | 1.000 | +nan | nan
M7   | P       | d 2 |  40 | nan | 1.000 | +nan | nan
M7   | P       | d 4 |  40 | nan | 1.000 | +nan | nan
M7   | P       | d 8 |  40 | 1.000 | 0.750 | +0.000 | 1.000
M7   | P       | d16 |  40 | 1.000 | 0.500 | +0.000 | 1.000
M7   | P       | d32 |  40 | 1.000 | 0.500 | +0.000 | 1.000
M7   | P       | d64 |  40 | 1.000 | 0.500 | +0.000 | 1.000
M7   | admit   | d 1 | 248 | 1.000 | 0.935 | -0.131 | 0.869
M7   | admit   | d 2 | 248 | 1.000 | 0.867 | -0.064 | 0.936
M7   | admit   | d 4 | 248 | 1.000 | 0.734 | -0.032 | 0.968
M7   | admit   | d 8 | 248 | 1.000 | 0.500 | -0.017 | 0.983
M7   | admit   | d16 | 248 | 1.000 | 0.194 | -0.011 | 0.989
M7   | cost    | d 1 | 125 | nan | 1.000 | +nan | nan
M7   | cost    | d 2 | 125 | nan | 1.000 | +nan | nan
M7   | cost    | d 4 | 125 | 1.000 | 0.840 | +0.000 | 1.000
M7   | cost    | d 8 | 125 | 1.000 | 0.160 | +0.000 | 1.000
M7   | cost    | d16 | 125 | 1.000 | 0.160 | +0.000 | 1.000
M7   | logic   | d 1 | 264 | 1.000 | 0.155 | -0.500 | 0.500
M7   | logic   | d 2 | 264 | 1.000 | 0.049 | -0.444 | 0.556
M7   | logic   | d 4 | 264 | 1.000 | 0.011 | -0.427 | 0.573
M7   | logic   | d 8 | 264 | 1.000 | 0.011 | -0.427 | 0.573
M7   | logic   | d16 | 264 | 1.000 | 0.000 | -0.422 | 0.578
M7   | redteam | d 1 |   3 | nan | 1.000 | +nan | nan
M7   | redteam | d 2 |   3 | nan | 1.000 | +nan | nan
M7   | redteam | d 4 |   3 | 0.000 | 0.667 | +1.000 | 1.000
M7   | redteam | d 8 |   3 | 0.000 | 0.000 | +1.000 | 1.000
M7   | redteam | d16 |   3 | 0.000 | 0.000 | +1.000 | 1.000
M7   | revoke  | d 1 | 113 | 1.000 | 0.602 | -0.500 | 0.500
M7   | revoke  | d 2 | 113 | 1.000 | 0.602 | -0.500 | 0.500
M7   | revoke  | d 4 | 113 | 1.000 | 0.558 | -0.450 | 0.550
M7   | revoke  | d 8 | 113 | 1.000 | 0.265 | -0.271 | 0.729
M7   | revoke  | d16 | 113 | 1.000 | 0.000 | -0.199 | 0.801
M7   | trap    | d 1 | 127 | nan | 1.000 | +nan | nan
M7   | trap    | d 2 | 127 | 1.000 | 0.811 | +0.000 | 1.000
M7   | trap    | d 4 | 127 | 1.000 | 0.165 | -0.074 | 0.926
M7   | trap    | d 8 | 127 | 1.000 | 0.000 | -0.085 | 0.915
M7   | trap    | d16 | 127 | 1.000 | 0.000 | -0.085 | 0.915

# 1->0 kill counts (accuracy bar)
M1 O: 40
M1 redteam: 1
M2 O: 40
M2 redteam: 1
M3 redteam: 1
BASE O: 40
BASE redteam: 2

# A->0 regression counts
M5 O: 40
M5 redteam: 3
M6 O: 40
M6 redteam: 3
M7 O: 10
M7 redteam: 3

# V1 violations (1->0 with conf non-decreasing)
M1 O: 40
M1 redteam: 1
M2 O: 40
M2 redteam: 1
M3 redteam: 1
BASE O: 40
BASE redteam: 2

# V2 violations (0->0 with conf rising)
M1 D: 30
M1 P: 40
M1 redteam: 1
M1 trap: 95
M2 D: 10
M2 P: 24
M2 trap: 10
M3 D: 30
M3 P: 40
M3 trap: 90
M4 D: 30
M4 P: 40
M4 trap: 90
BASE D: 30
BASE P: 40
BASE redteam: 1
BASE trap: 90

# G(d+1)>G(d) violations (L-OVERCONF)
M1 D: d1->2 (+0.075->+0.100)
M1 O: d1->2 (-0.690->-0.500); d4->8 (-0.500->-0.125); d8->16 (-0.125->+0.250); d16->32 (+0.250->+0.625); d32->64 (+0.625->+1.000)
M1 P: d1->2 (+0.310->+0.500)
M1 admit: d1->2 (-0.210->-0.043); d2->4 (-0.043->-0.008)
M1 cost: d1->2 (-0.460->+0.000)
M1 logic: d1->2 (-0.500->-0.422)
M1 redteam: d1->2 (-0.133->+0.067); d2->4 (+0.067->+0.433); d4->8 (+0.433->+0.600)
M1 revoke: d1->2 (-0.500->-0.199)
M1 trap: d1->2 (+0.100->+0.134); d4->8 (-0.046->-0.038)
M2 D: d2->4 (+0.050->+0.075)
M2 O: d1->2 (-0.690->-0.530); d4->8 (-0.530->-0.147); d8->16 (-0.147->+0.235); d16->32 (+0.235->+0.618); d32->64 (+0.618->+1.000)
M2 P: d1->2 (+0.310->+0.470)
M2 admit: d1->2 (-0.210->-0.046); d2->4 (-0.046->-0.008)
M2 cost: d1->2 (-0.460->+0.000)
M2 logic: d1->2 (-0.500->-0.422)
M2 redteam: d1->2 (-0.133->+0.067); d4->8 (+0.067->+0.600)
M2 revoke: d1->2 (-0.500->-0.199)
M2 trap: d4->8 (-0.050->-0.042)
M3 D: d1->2 (+0.075->+0.133); d2->4 (+0.133->+0.200)
M3 O: d1->2 (-0.690->-0.500)
M3 P: d1->2 (+0.310->+0.500)
M3 admit: d1->2 (-0.210->-0.043); d2->4 (-0.043->-0.008)
M3 cost: d1->2 (-0.460->+0.000)
M3 logic: d1->2 (-0.500->-0.422)
M3 redteam: d1->2 (-0.133->+0.067); d4->8 (-0.267->+1.000)
M3 revoke: d1->2 (-0.500->-0.199)
M3 trap: d1->2 (+0.100->+0.200)
M4 D: d1->2 (+0.075->+0.133); d2->4 (+0.133->+0.200)
M4 O: d1->2 (-0.690->-0.500)
M4 P: d1->2 (+0.310->+0.500)
M4 admit: d1->2 (-0.210->-0.043); d2->4 (-0.043->-0.008)
M4 cost: d1->2 (-0.460->+0.000)
M4 logic: d1->2 (-0.500->-0.422)
M4 redteam: d1->2 (-0.133->+0.067); d2->4 (+0.067->+0.100); d4->8 (+0.100->+1.000)
M4 revoke: d1->2 (-0.500->-0.199)
M4 trap: d1->2 (+0.100->+0.200); d2->4 (+0.200->+0.400)
M5 admit: d1->2 (-0.131->-0.064); d2->4 (-0.064->-0.032); d4->8 (-0.032->-0.017); d8->16 (-0.017->-0.011)
M5 logic: d1->2 (-0.500->-0.444); d2->4 (-0.444->-0.427); d8->16 (-0.427->-0.422)
M5 revoke: d2->4 (-0.500->-0.450); d4->8 (-0.450->-0.271); d8->16 (-0.271->-0.199)
M6 admit: d1->2 (-0.131->-0.064); d2->4 (-0.064->-0.032); d4->8 (-0.032->-0.017); d8->16 (-0.017->-0.011)
M6 logic: d1->2 (-0.500->-0.444); d2->4 (-0.444->-0.427); d8->16 (-0.427->-0.422)
M6 revoke: d2->4 (-0.500->-0.450); d4->8 (-0.450->-0.271); d8->16 (-0.271->-0.199)
BASE D: d1->2 (+0.075->+0.100)
BASE O: d1->2 (-0.690->-0.500); d4->8 (-0.500->-0.125); d8->16 (-0.125->+0.250); d16->32 (+0.250->+0.625); d32->64 (+0.625->+1.000)
BASE P: d1->2 (+0.310->+0.500)
BASE admit: d1->2 (-0.210->-0.043); d2->4 (-0.043->-0.008)
BASE cost: d1->2 (-0.460->+0.000)
BASE logic: d1->2 (-0.500->-0.422)
BASE redteam: d1->2 (-0.133->+0.067); d2->4 (+0.067->+0.233); d4->8 (+0.233->+1.000)
BASE revoke: d1->2 (-0.500->-0.199)
BASE trap: d1->2 (+0.100->+0.134)
M7 admit: d1->2 (-0.131->-0.064); d2->4 (-0.064->-0.032); d4->8 (-0.032->-0.017); d8->16 (-0.017->-0.011)
M7 logic: d1->2 (-0.500->-0.444); d2->4 (-0.444->-0.427); d8->16 (-0.427->-0.422)
M7 revoke: d2->4 (-0.500->-0.450); d4->8 (-0.450->-0.271); d8->16 (-0.271->-0.199)
