sample_idx	trial_id	task	fixture	truth	kind	family
154	h_pitchdisc_noise_p034	pitchdisc	senses/rebuild/harness/fixtures/t4_pitchdisc/noise/p034.pcm	HIGHER	normal	harness-noise
155	r2n_pitchdisc_0030	pitchdisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/pitchdisc/r2n_pitchdisc_0030.pcm	truth=SAME	normal	-
156	r2n_colorconst_0569	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/colorconst/r2n_colorconst_0569.img	truth=DIFFERENT	normal	-
157	r2n_shapetrans_0974	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/shapetrans/r2n_shapetrans_0974.img	truth=SQUARE	normal	-
158	h_shapetrans_primary_p072	shapetrans	senses/rebuild/harness/fixtures/t3_shapetrans/primary/p072.img	CIRCLE	normal	harness-primary
159	r2a_shapetrans_0210	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-1/r2a_shapetrans_0210.img	truth=SQUARE	adversarial	R2A-SHP-1
160	h_motiondir_noise_p024	motiondir	senses/rebuild/harness/fixtures/t6_motiondir/noise/p024.vid	S	normal	harness-noise
161	r2a_motiondir_0368	motiondir	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-MOT-2/r2a_motiondir_0368.vid	truth=SW	adversarial	R2A-MOT-2
162	r2a_pitchdisc_0337	pitchdisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-PTC-2/r2a_pitchdisc_0337.pcm	truth=LOWER	adversarial	R2A-PTC-2
163	r2n_colordisc_0038	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/colordisc/r2n_colordisc_0038.img	truth=DIFFERENT	normal	-
164	r2n_motiondir_0342	motiondir	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/motiondir/r2n_motiondir_0342.vid	truth=NE	normal	-
165	r2a_colordisc_0206	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-COL-1/r2a_colordisc_0206.img	truth=DIFFERENT	adversarial	R2A-COL-1
166	r2n_colorconst_0394	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/colorconst/r2n_colorconst_0394.img	truth=SAME_SURFACE	normal	-
167	r2n_timbredisc_0026	timbredisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/timbredisc/r2n_timbredisc_0026.pcm	truth=DARK	normal	-
168	r2a_motiondir_0439	motiondir	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-MOT-2/r2a_motiondir_0439.vid	truth=N	adversarial	R2A-MOT-2
169	r2a_colorconst_0325	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-CCN-2/r2a_colorconst_0325.img	truth=SAME_SURFACE	adversarial	R2A-CCN-2
170	r2n_pitchdisc_0046	pitchdisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/pitchdisc/r2n_pitchdisc_0046.pcm	truth=HIGHER	normal	-
171	h_motiondir_primary_p056	motiondir	senses/rebuild/harness/fixtures/t6_motiondir/primary/p056.vid	S	normal	harness-primary
172	r2n_shapetrans_0068	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/shapetrans/r2n_shapetrans_0068.img	truth=SQUARE	normal	-
173	r2a_shapetrans_0667	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-2/r2a_shapetrans_0667.img	truth=TRIANGLE	adversarial	R2A-SHP-2
174	r2a_pitchdisc_0371	pitchdisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-PTC-2/r2a_pitchdisc_0371.pcm	truth=HIGHER	adversarial	R2A-PTC-2
175	r2n_timbredisc_0358	timbredisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/timbredisc/r2n_timbredisc_0358.pcm	truth=DARK	normal	-
176	h_pitchdisc_primary_p017	pitchdisc	senses/rebuild/harness/fixtures/t4_pitchdisc/primary/p017.pcm	LOWER	normal	harness-primary
177	h_shapetrans_noise_p008	shapetrans	senses/rebuild/harness/fixtures/t3_shapetrans/noise/p008.img	SQUARE	normal	harness-noise
178	r2a_motiondir_0554	motiondir	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-MOT-2/r2a_motiondir_0554.vid	truth=W	adversarial	R2A-MOT-2
179	r2a_shapetrans_0633	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-2/r2a_shapetrans_0633.img	truth=CIRCLE	adversarial	R2A-SHP-2
180	r2n_pitchdisc_0224	pitchdisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/pitchdisc/r2n_pitchdisc_0224.pcm	truth=LOWER	normal	-
181	r2n_colordisc_0684	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/colordisc/r2n_colordisc_0684.img	truth=DIFFERENT	normal	-
182	r2n_shapetrans_0836	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/shapetrans/r2n_shapetrans_0836.img	truth=SQUARE	normal	-
183	r2a_colorconst_0313	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-CCN-2/r2a_colorconst_0313.img	truth=DIFFERENT	adversarial	R2A-CCN-2
184	h_colorconst_noise_p025	colorconst	senses/rebuild/harness/fixtures/t2_colorconst/noise/p025.img	DIFFERENT	normal	harness-noise
185	r2a_motiondir_0328	motiondir	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-MOT-2/r2a_motiondir_0328.vid	truth=S	adversarial	R2A-MOT-2
186	r2a_colordisc_0038	colordisc	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-COL-1/r2a_colordisc_0038.img	truth=DIFFERENT	adversarial	R2A-COL-1
187	r2a_motiondir_0432	motiondir	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-MOT-2/r2a_motiondir_0432.vid	truth=SE	adversarial	R2A-MOT-2
188	r2n_pitchdisc_0510	pitchdisc	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/pitchdisc/r2n_pitchdisc_0510.pcm	truth=SAME	normal	-
189	r2a_shapetrans_0011	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-1/r2a_shapetrans_0011.img	truth=TRIANGLE	adversarial	R2A-SHP-1
190	r2n_colorconst_0192	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/colorconst/r2n_colorconst_0192.img	truth=SAME_SURFACE	normal	-
191	r2n_motiondir_0120	motiondir	senses/pam-rebuild/round2/fixtures/r2a_r29/normal/motiondir/r2n_motiondir_0120.vid	truth=STILL	normal	-
192	h_motiondir_noise_p017	motiondir	senses/rebuild/harness/fixtures/t6_motiondir/noise/p017.vid	SE	normal	harness-noise
193	r2a_motiondir_0371	motiondir	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-MOT-2/r2a_motiondir_0371.vid	truth=S	adversarial	R2A-MOT-2
194	r2a_colorconst_0499	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-CCN-2/r2a_colorconst_0499.img	truth=SAME_SURFACE	adversarial	R2A-CCN-2
195	r2a_shapetrans_0675	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-2/r2a_shapetrans_0675.img	truth=TRIANGLE	adversarial	R2A-SHP-2
196	r2a_motiondir_0336	motiondir	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-MOT-2/r2a_motiondir_0336.vid	truth=SE	adversarial	R2A-MOT-2
197	r2a_shapetrans_0592	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-2/r2a_shapetrans_0592.img	truth=SQUARE	adversarial	R2A-SHP-2
198	r2a_shapetrans_0182	shapetrans	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-SHP-1/r2a_shapetrans_0182.img	truth=CIRCLE	adversarial	R2A-SHP-1
199	r2a_colorconst_0532	colorconst	senses/pam-rebuild/round2/fixtures/r2a_r29/adversarial/R2A-CCN-2/r2a_colorconst_0532.img	truth=SAME_SURFACE	adversarial	R2A-CCN-2
