level	f1	f5	depth	correct	total	rate_mil	prov
L2	500	1000	-	1340	1340	1000000	kb-diet-v3c:cell:L2
L2	600	166	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	710	52	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	710	55	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	710	58	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	710	62	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	710	66	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	710	71	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	710	76	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	710	83	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	710	90	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	710	100	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	710	111	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	710	125	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	710	142	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	710	166	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	710	200	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	710	250	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	710	333	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	710	500	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	710	1000	-	20	20	1000000	kb-diet-v3c:cell:L2
L2	750	125	-	20	20	1000000	kb-diet-v3c:cell:L2
L2	763	250	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	764	41	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	764	43	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	764	45	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	764	47	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	764	50	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	764	52	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	764	55	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	764	58	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	764	62	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	764	66	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	764	71	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	764	76	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	764	83	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	764	90	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	764	100	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	764	111	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	764	125	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	764	142	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	764	166	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	764	200	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	764	250	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	764	333	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	764	500	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	764	1000	-	20	20	1000000	kb-diet-v3c:cell:L2
L2	800	400	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	931	20	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	931	24	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	931	25	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	931	33	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	931	47	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	931	58	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	931	71	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	931	76	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	931	111	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	931	125	-	5	5	1000000	kb-diet-v3c:cell:L2
L2	931	142	-	7	7	1000000	kb-diet-v3c:cell:L2
L2	931	166	-	5	5	1000000	kb-diet-v3c:cell:L2
L2	931	200	-	8	8	1000000	kb-diet-v3c:cell:L2
L2	931	250	-	7	7	1000000	kb-diet-v3c:cell:L2
L2	931	333	-	8	8	1000000	kb-diet-v3c:cell:L2
L2	931	500	-	8	8	1000000	kb-diet-v3c:cell:L2
L2	931	1000	-	40	40	1000000	kb-diet-v3c:cell:L2
L2	948	666	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	948	1000	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	1000	41	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	1000	48	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	1000	51	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	1000	66	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	1000	83	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	1000	86	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	1000	90	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	1000	93	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	1000	95	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	1000	97	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	1000	100	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	1000	102	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	1000	105	-	6	6	1000000	kb-diet-v3c:cell:L2
L2	1000	111	-	6	6	1000000	kb-diet-v3c:cell:L2
L2	1000	114	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	1000	117	-	9	9	1000000	kb-diet-v3c:cell:L2
L2	1000	125	-	8	8	1000000	kb-diet-v3c:cell:L2
L2	1000	133	-	10	10	1000000	kb-diet-v3c:cell:L2
L2	1000	142	-	10	10	1000000	kb-diet-v3c:cell:L2
L2	1000	148	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	1000	153	-	10	10	1000000	kb-diet-v3c:cell:L2
L2	1000	160	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	1000	166	-	12	12	1000000	kb-diet-v3c:cell:L2
L2	1000	173	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	1000	181	-	16	16	1000000	kb-diet-v3c:cell:L2
L2	1000	186	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	1000	190	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	1000	195	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	1000	200	-	31	31	1000000	kb-diet-v3c:cell:L2
L2	1000	205	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	1000	210	-	8	8	1000000	kb-diet-v3c:cell:L2
L2	1000	222	-	25	25	1000000	kb-diet-v3c:cell:L2
L2	1000	228	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	1000	235	-	9	9	1000000	kb-diet-v3c:cell:L2
L2	1000	250	-	41	41	1000000	kb-diet-v3c:cell:L2
L2	1000	266	-	10	10	1000000	kb-diet-v3c:cell:L2
L2	1000	285	-	59	59	1000000	kb-diet-v3c:cell:L2
L2	1000	296	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	1000	307	-	12	12	1000000	kb-diet-v3c:cell:L2
L2	1000	320	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	1000	333	-	48	49	979592	kb-diet-v3c:cell:L2
L2	1000	347	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	1000	363	-	16	16	1000000	kb-diet-v3c:cell:L2
L2	1000	372	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	1000	380	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	1000	390	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	1000	400	-	113	113	1000000	kb-diet-v3c:cell:L2
L2	1000	410	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	1000	421	-	8	8	1000000	kb-diet-v3c:cell:L2
L2	1000	444	-	25	25	1000000	kb-diet-v3c:cell:L2
L2	1000	457	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	1000	470	-	9	9	1000000	kb-diet-v3c:cell:L2
L2	1000	500	-	77	77	1000000	kb-diet-v3c:cell:L2
L2	1000	533	-	10	10	1000000	kb-diet-v3c:cell:L2
L2	1000	571	-	59	59	1000000	kb-diet-v3c:cell:L2
L2	1000	592	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	1000	615	-	12	12	1000000	kb-diet-v3c:cell:L2
L2	1000	640	-	1	1	1000000	kb-diet-v3c:cell:L2
L2	1000	666	-	77	78	987179	kb-diet-v3c:cell:L2
L2	1000	695	-	2	2	1000000	kb-diet-v3c:cell:L2
L2	1000	727	-	16	16	1000000	kb-diet-v3c:cell:L2
L2	1000	761	-	4	4	1000000	kb-diet-v3c:cell:L2
L2	1000	800	-	113	113	1000000	kb-diet-v3c:cell:L2
L2	1000	842	-	8	8	1000000	kb-diet-v3c:cell:L2
L2	1000	888	-	25	25	1000000	kb-diet-v3c:cell:L2
L2	1000	941	-	8	8	1000000	kb-diet-v3c:cell:L2
L2	1000	1000	-	941	944	996822	kb-diet-v3c:cell:L2
L3	-	-	1	802	1000	802000	kb-diet-v3c:cell:L3
L3	-	-	2	802	948	845992	kb-diet-v3c:cell:L3
L3	-	-	4	801	857	934656	kb-diet-v3c:cell:L3
L3	-	-	8	790	821	962241	kb-diet-v3c:cell:L3
L3	-	-	16	780	801	973783	kb-diet-v3c:cell:L3
L3	-	-	32	20	30	666667	kb-diet-v3c:cell:L3
L3	-	-	64	10	10	1000000	kb-diet-v3c:cell:L3
L4	-	-	-	4005	4467	896575	kb-diet-v3c:cell:L4
