# PREREG_SHA f55d1dbbe1a609f69301ce8f537282a0372880b51fdec6b51d0f588b9fd96d30
epoch	phase	loss	v2	gviol	clampbind	w1	w2	w3	w4	w5	w6	w7	w8	w9	b	mcC	mcW	mcA
277	0	18023958	0	7	0	63008	971	0	-4035	1202	92431	54942	2760	100107	-205160	987	233	926
278	1	107238561	25	15	0	60395	540	0	-4293	-349	87074	55192	2760	95141	-211777	429	14	395
279	1	5000000	0	8	0	60520	540	0	-4293	-224	87199	55442	2760	95346	-212602	421	14	388
280	2	62455507	0	10	0	61482	707	0	-4199	253	89956	55192	2790	97565	-211703	708	146	662
281	2	54000000	0	15	0	62221	849	0	-4105	529	92264	54942	2820	99354	-211505	717	175	673
282	0	53719196	0	7	0	64174	857	0	-4089	1082	93711	56454	2820	101679	-209919	950	233	892
283	0	18019422	0	7	0	64564	857	0	-4089	1159	94611	56468	2820	102429	-210266	987	233	926
284	1	109504352	23	15	0	61935	423	0	-4335	-401	89225	56718	2820	97435	-216901	432	14	398
285	1	5000000	0	9	0	62060	423	0	-4335	-276	89350	56968	2820	97640	-217722	423	14	389
286	2	62485990	0	10	0	63022	590	0	-4241	201	92107	56718	2850	99861	-216823	708	146	662
287	2	54000000	0	15	0	63761	732	0	-4147	477	94415	56468	2880	101650	-216626	717	171	673
288	0	53966577	0	7	0	65723	740	0	-4131	1035	95862	57989	2880	103981	-215031	924	233	868
289	0	18016667	0	7	0	66113	740	0	-4131	1112	96762	58001	2880	104730	-215349	987	233	926
290	1	110645681	23	14	0	63477	301	0	-4360	-457	91359	58251	2880	99714	-221989	435	14	401
291	1	5000000	0	9	0	63602	301	0	-4360	-332	91484	58501	2880	99919	-222806	424	14	391
292	2	62510166	0	10	0	64566	469	0	-4266	146	94243	58251	2910	102140	-221905	708	146	662
293	2	54000000	0	13	0	65305	611	0	-4172	422	96551	58001	2940	103929	-221710	717	166	673
294	0	54230997	0	8	0	67304	619	0	-4156	983	98091	59522	2940	106332	-220021	909	233	854
295	0	18000000	0	7	0	67682	619	0	-4156	1060	98991	59522	2940	107070	-220347	987	233	926
296	1	112303758	22	14	0	65006	165	0	-4389	-529	93509	59772	2940	101979	-227060	438	14	403
297	1	5000000	0	9	0	65131	165	0	-4389	-404	93634	60022	2940	102184	-227874	426	14	393
298	2	62521037	0	10	0	66095	333	0	-4295	74	96394	59772	2970	104406	-226972	708	146	662
299	2	54000000	0	13	0	66834	475	0	-4201	350	98702	59522	3000	106195	-226777	718	161	673
300	0	55130315	0	8	0	68884	483	0	-4185	924	100335	61049	3000	108681	-224990	905	233	851
301	0	18000000	0	7	0	69262	483	0	-4185	1001	101235	61049	3000	109419	-225316	987	233	926
302	1	113008400	23	13	0	66538	24	0	-4428	-597	95657	61299	3000	104237	-232123	441	14	406
303	1	5000000	0	8	0	66663	24	0	-4428	-472	95782	61549	3000	104442	-232935	429	14	395
304	2	62536040	0	10	0	67627	192	0	-4334	7	98542	61299	3030	106665	-232033	708	146	663
305	2	54000000	0	13	0	68366	334	0	-4240	283	100850	61049	3060	108454	-231837	721	155	675
306	0	56555570	0	8	0	70465	342	0	-4224	874	102579	62581	3060	111016	-229949	902	233	848
307	0	18000000	0	7	0	70843	342	0	-4224	951	103479	62581	3060	111754	-230275	987	233	926
308	1	114551591	23	13	0	68067	-122	0	-4473	-636	97800	62831	3060	106479	-237187	445	14	410
309	1	5000000	0	8	0	68192	-122	0	-4473	-511	97925	63081	3060	106684	-237995	432	14	399
310	2	62569946	0	10	0	69157	46	0	-4379	-32	100686	62831	3090	108909	-237092	710	146	664
311	2	54000000	0	13	0	69896	188	0	-4285	244	102994	62581	3120	110698	-236896	725	150	679
312	0	58545949	0	8	0	72049	196	0	-4269	851	104821	64118	3120	113347	-234906	901	233	847
313	0	18000000	0	7	0	72427	196	0	-4269	928	105721	64118	3120	114085	-235232	987	233	926
314	1	116818643	24	13	0	69613	-267	0	-4526	-649	99960	64368	3120	108737	-242294	452	14	417
315	1	5000000	0	7	0	69738	-267	0	-4526	-524	100085	64618	3120	108942	-243100	439	14	405
316	2	62595426	0	10	0	70704	-99	0	-4432	-46	102848	64368	3150	111167	-242195	711	146	665
317	2	54000000	0	13	0	71443	43	0	-4338	230	105156	64118	3180	112956	-241999	731	146	683
318	0	60525139	0	8	0	73653	51	0	-4322	852	107082	65660	3180	115690	-239905	901	233	847
319	0	18000000	0	7	0	74031	51	0	-4322	929	107982	65660	3180	116428	-240231	987	233	926
320	1	119160866	24	13	0	71163	-424	0	-4586	-662	102117	65910	3180	110985	-247404	459	14	423
321	1	5000000	0	7	0	71288	-424	0	-4586	-537	102242	66160	3180	111190	-248207	446	14	411
322	2	62652139	0	10	0	72255	-256	0	-4492	-58	105007	65910	3210	113419	-247300	713	146	667
323	2	54000000	0	13	0	72994	-114	0	-4398	218	107315	65660	3240	115208	-247104	736	146	688
324	0	62371832	0	8	0	75257	-106	0	-4382	854	109342	67210	3240	118032	-244902	901	233	847
325	0	18000000	0	7	0	75635	-106	0	-4382	931	110242	67210	3240	118770	-245228	987	233	926
326	1	119688450	25	13	0	72716	-589	0	-4653	-670	104275	67460	3240	113230	-252513	464	14	427
327	1	5000000	0	7	0	72841	-589	0	-4653	-545	104400	67710	3240	113435	-253313	453	14	418
328	2	62705701	0	10	0	73809	-420	0	-4559	-65	107167	67460	3270	115666	-252404	714	146	668
329	2	54000000	0	13	0	74548	-278	0	-4465	211	109475	67210	3300	117455	-252208	741	146	693
330	0	64245249	0	8	0	76865	-269	0	-4448	863	111605	68763	3300	120369	-249900	901	233	847
331	0	18000000	0	7	0	77243	-269	0	-4448	940	112505	68763	3300	121107	-250226	987	233	926
332	1	122515635	25	13	0	74272	-757	0	-4726	-666	106434	69013	3300	115470	-257629	465	14	428
333	1	5000000	0	7	0	74397	-757	0	-4726	-541	106559	69263	3300	115675	-258427	457	14	421
334	2	62778203	0	10	0	75367	-588	0	-4632	-60	109330	69013	3330	117909	-257513	716	146	670
335	2	54000000	0	13	0	76106	-446	0	-4538	216	111638	68763	3360	119698	-257317	746	146	698
336	0	66336432	0	8	0	78478	-436	0	-4519	884	113872	70320	3360	122701	-254901	903	233	849
337	0	18000000	0	7	0	78856	-436	0	-4519	961	114772	70320	3360	123439	-255227	987	233	926
338	1	124606831	24	13	0	75834	-938	0	-4794	-666	108600	70570	3360	117708	-262745	465	14	429
339	1	5000000	0	7	0	75959	-938	0	-4794	-541	108725	70820	3360	117913	-263540	460	14	424
340	2	62836930	0	10	0	76930	-769	0	-4700	-60	111498	70570	3390	120149	-262615	717	146	671
341	2	54000000	0	13	0	77669	-627	0	-4606	216	113806	70320	3420	121938	-262419	751	146	702
342	0	68402515	0	8	0	80092	-617	0	-4585	898	116143	71878	3420	125024	-259899	904	233	849
343	0	18000000	0	7	0	80470	-617	0	-4585	975	117043	71878	3420	125762	-260225	987	233	926
344	1	127452680	25	13	0	77398	-1129	0	-4867	-663	110769	72128	3420	119940	-267862	466	14	429
345	1	5000000	0	7	0	77523	-1129	0	-4867	-538	110894	72378	3420	120145	-268654	462	14	426
346	2	62903750	0	10	0	78496	-960	0	-4773	-55	113670	72128	3450	122383	-267714	717	146	671
347	2	54000000	0	13	0	79235	-818	0	-4679	221	115978	71878	3480	124172	-267519	756	146	706
348	0	70409318	0	8	0	81706	-807	0	-4657	918	118415	73436	3480	127348	-264899	905	233	851
349	0	18000000	0	7	0	82084	-807	0	-4657	995	119315	73436	3480	128086	-265225	987	233	926
350	1	129837597	25	13	0	78964	-1323	0	-4944	-644	112945	73686	3480	122171	-272992	466	14	430
351	1	5000000	0	7	0	79089	-1323	0	-4944	-519	113070	73936	3480	122376	-273781	464	14	427
352	2	62981228	0	10	0	80062	-1154	0	-4850	-36	115849	73686	3510	124618	-272819	717	146	671
353	2	54000000	0	13	0	80801	-1012	0	-4756	240	118157	73436	3540	126407	-272596	758	146	709
354	0	72339202	0	8	0	83310	-1000	0	-4732	946	120691	74987	3540	129657	-269886	907	233	852
355	0	18000000	0	7	0	83688	-1000	0	-4732	1023	121591	74987	3540	130395	-270212	987	233	926
356	1	129727148	26	13	0	80519	-1525	0	-5024	-619	115124	75237	3540	124393	-278113	467	14	430
357	1	5000000	0	7	0	80644	-1525	0	-5024	-494	115249	75487	3540	124598	-278900	465	14	428
358	2	63071130	0	10	0	81619	-1356	0	-4930	-9	118033	75237	3570	126843	-277916	717	146	671
359	2	54000000	0	13	0	82358	-1214	0	-4836	267	120341	74987	3600	128632	-277633	760	146	710
360	0	74220261	0	8	0	84898	-1201	0	-4810	984	122961	76527	3600	131950	-274847	909	233	855
361	0	18000000	0	7	0	85276	-1201	0	-4810	1061	123861	76527	3600	132688	-275173	987	233	926
362	1	132669975	25	15	0	82057	-1733	0	-5108	-584	117294	76777	3600	126595	-283204	467	14	431
363	1	5000000	0	7	0	82182	-1733	0	-5108	-459	117419	77027	3600	126800	-283989	465	14	429
364	2	63171662	0	10	0	83160	-1564	0	-5014	26	120207	76777	3630	129050	-282986	717	146	671
365	2	54000000	0	13	0	83899	-1422	0	-4920	302	122515	76527	3660	130839	-282644	761	146	711
366	0	76109554	0	8	0	86477	-1408	0	-4892	1026	125223	78058	3660	134221	-279778	912	233	857
367	0	18000000	0	7	0	86855	-1408	0	-4892	1103	126123	78058	3660	134959	-280104	987	233	926
368	1	134081858	26	15	0	83595	-1941	0	-5195	-538	119473	78308	3660	128791	-288296	468	14	431
369	1	5000000	0	7	0	83720	-1941	0	-5195	-413	119598	78558	3660	128996	-289081	465	14	429
370	2	63263190	0	10	0	84700	-1771	0	-5101	75	122391	78308	3690	131251	-288061	717	146	671
371	2	54000000	0	13	0	85439	-1629	0	-5007	351	124699	78058	3720	133040	-287660	762	146	712
372	0	77916453	0	8	0	88052	-1614	0	-4978	1082	127491	79585	3720	136492	-284714	916	233	860
373	0	18000000	0	7	0	88430	-1614	0	-4978	1159	128391	79585	3720	137230	-285040	987	233	926
374	1	137795948	24	15	0	85138	-2148	0	-5286	-477	121679	79835	3720	131007	-293398	468	14	431
375	1	5000000	0	9	0	85263	-2148	0	-5286	-352	121804	80085	3720	131212	-294217	466	14	429
376	2	63324870	0	10	0	86245	-1978	0	-5192	135	124600	79835	3750	133469	-293185	717	146	671
377	2	54000000	0	13	0	86984	-1836	0	-5098	411	126908	79585	3780	135258	-292727	763	146	713
378	0	79698166	0	8	0	89651	-1821	0	-5068	1152	129781	81118	3780	138777	-289695	920	233	865
379	0	18000000	0	7	0	90029	-1821	0	-5068	1229	130681	81118	3780	139515	-290021	987	233	926
380	1	137947442	25	15	0	86725	-2355	0	-5379	-403	123946	81367	3780	133272	-298455	470	14	433
381	1	5000000	0	11	0	86850	-2355	0	-5379	-278	124071	81617	3780	133477	-299384	467	14	430
382	2	63137510	0	10	0	87826	-2186	0	-5285	204	126855	81367	3810	135723	-298351	717	146	671
383	2	54000000	0	13	0	88565	-2044	0	-5191	480	129163	81117	3840	137512	-297856	764	146	714
384	0	81317052	0	7	0	91275	-2028	0	-5160	1225	132119	82652	3840	141105	-294739	928	233	872
385	0	18000000	0	7	0	91653	-2028	0	-5160	1302	133019	82652	3840	141843	-295065	987	233	926
386	1	137876583	24	13	0	88327	-2548	0	-5472	-320	126260	82862	3840	135570	-303515	474	14	437
387	1	5000000	0	11	0	88452	-2548	0	-5472	-195	126385	83112	3840	135775	-304718	467	14	431
388	2	63132634	0	10	0	89428	-2379	0	-5378	288	129168	82862	3870	138021	-303691	717	146	671
389	2	54000000	0	13	0	90167	-2237	0	-5284	564	131476	82612	3900	139810	-303140	764	146	714
390	0	83347005	0	7	0	92942	-2221	0	-5253	1320	134501	84181	3900	143485	-299926	935	233	878
391	0	18000000	0	7	0	93320	-2221	0	-5253	1397	135401	84181	3900	144223	-300252	987	233	926
392	1	134096397	23	11	0	89978	-2726	0	-5567	-247	128657	84300	3900	137941	-308709	504	15	464
393	1	5005760	5	15	0	90099	-2728	0	-5567	-125	128773	84550	3900	138137	-310143	468	14	431
394	2	62953649	0	10	0	91070	-2559	0	-5473	355	131548	84300	3930	140374	-309139	717	146	671
395	2	54000000	0	11	0	91809	-2417	0	-5379	631	133856	84050	3960	142163	-308569	763	146	713
396	0	85583215	0	7	0	94670	-2401	0	-5347	1409	136939	85688	3960	145932	-305234	936	233	879
397	0	18000000	0	7	0	95048	-2401	0	-5347	1486	137839	85688	3960	146670	-305560	987	233	926
398	1	132131151	24	11	0	91673	-2900	0	-5664	-179	131059	85745	3960	140338	-314072	526	21	485
399	1	5233355	10	15	0	91762	-2916	0	-5664	-99	131109	85995	3960	140471	-315576	469	14	432
400	2	63023726	0	10	0	92736	-2747	0	-5570	381	133887	85745	3990	142712	-314584	717	146	671
401	2	54000000	0	11	0	93475	-2605	0	-5476	657	136195	85495	4020	144501	-314014	762	146	713
402	0	88139268	0	7	0	96429	-2589	0	-5444	1471	139353	87198	4020	148383	-310546	936	233	879
403	0	18000000	0	7	0	96807	-2589	0	-5444	1548	140253	87198	4020	149121	-310872	987	233	926
404	1	133519983	23	11	0	93386	-3085	0	-5763	-129	133398	87218	4020	142708	-319469	546	24	503
405	1	5549625	10	15	0	93460	-3110	0	-5763	-72	133418	87468	4020	142812	-321003	469	14	432
406	2	63086093	0	10	0	94435	-2941	0	-5669	411	136200	87218	4050	145056	-320011	717	146	671
407	2	54000000	0	11	0	95174	-2799	0	-5575	687	138508	86968	4080	146845	-319441	762	146	712
408	0	90529070	0	7	0	98212	-2783	0	-5543	1528	141746	88718	4080	150827	-315852	937	233	880
409	0	18000000	0	7	0	98590	-2783	0	-5543	1605	142646	88718	4080	151565	-316178	987	233	926
410	1	136299096	23	10	0	95124	-3281	0	-5864	-83	135710	88718	4080	145071	-324864	558	27	515
411	1	5910625	10	15	0	95187	-3311	0	-5864	-43	135707	88968	4080	145152	-326425	470	14	433
412	2	63156461	0	10	0	96164	-3142	0	-5770	440	138492	88718	4110	147399	-325425	717	146	671
413	2	54000000	0	11	0	96903	-3000	0	-5676	716	140800	88468	4140	149188	-324855	762	146	712
414	0	92940207	0	7	0	100015	-2984	0	-5644	1579	144129	90247	4140	153267	-321148	937	233	880
415	0	18000000	0	7	0	100393	-2984	0	-5644	1656	145029	90247	4140	154005	-321474	987	233	926
416	1	136486149	22	10	0	96939	-3477	0	-5967	-22	138119	90247	4140	147542	-330134	597	60	553
417	1	6909075	16	15	0	96937	-3521	0	-5967	-55	137984	90497	4140	147494	-331824	470	14	433
418	2	63195442	0	10	0	97914	-3352	0	-5873	428	140771	90247	4170	149743	-330809	717	146	671
419	2	54000000	0	11	0	98653	-3210	0	-5779	704	143079	89997	4200	151532	-330239	763	146	713
420	0	95029752	0	7	0	101820	-3194	0	-5747	1585	146503	91788	4200	155701	-326426	938	233	881
421	0	18000000	0	7	0	102198	-3194	0	-5747	1662	147403	91788	4200	156439	-326752	987	233	926
422	1	134797604	22	14	0	98792	-3676	0	-6070	5	140591	91788	4200	150072	-335311	620	87	577
423	1	11062870	16	15	0	98692	-3744	0	-6070	-135	140261	92038	4200	149833	-337183	471	14	434
424	2	63178017	0	10	0	99669	-3575	0	-5976	348	143047	91788	4230	152081	-336152	717	146	671
425	2	54000000	0	11	0	100408	-3433	0	-5882	624	145355	91538	4260	153870	-335582	763	146	713
426	0	96900726	0	7	0	103622	-3417	0	-5850	1520	148870	93328	4260	158112	-331680	937	233	880
427	0	18000000	0	7	0	104000	-3417	0	-5850	1597	149770	93328	4260	158850	-332006	987	233	926
428	1	134245456	21	14	0	100620	-3894	0	-6173	-49	143009	93328	4260	152533	-340516	627	87	584
429	1	13293278	16	15	0	100451	-3980	0	-6173	-261	142541	93578	4260	152158	-342511	471	14	434
430	2	63137721	0	11	0	101427	-3811	0	-6079	222	145325	93328	4290	154404	-341465	717	146	671
431	2	54000000	0	11	0	102166	-3669	0	-5985	498	147633	93078	4320	156193	-340895	764	146	714
432	0	98685871	0	7	0	105418	-3653	0	-5953	1405	151237	94867	4320	160504	-336904	937	233	880
433	0	18000000	0	7	0	105796	-3653	0	-5953	1482	152137	94867	4320	161242	-337230	987	233	926
434	1	133857476	21	10	0	102425	-4128	0	-6276	-158	145395	94867	4320	154943	-345722	635	87	591
435	1	15685658	16	15	0	102204	-4226	0	-6276	-420	144822	95117	4320	154469	-347796	471	14	434
436	2	63053524	0	11	0	103177	-4057	0	-6182	61	147601	94867	4350	156710	-346755	717	146	671
437	2	54000000	0	11	0	103916	-3915	0	-6088	337	149909	94617	4380	158499	-346185	764	146	714
438	0	100451942	0	7	0	107215	-3899	0	-6056	1261	153604	96402	4380	162880	-342107	936	233	879
439	0	18000000	0	7	0	107593	-3899	0	-6056	1338	154504	96402	4380	163618	-342433	987	233	926
440	1	133529984	21	10	0	104232	-4373	0	-6379	-296	147782	96402	4380	157338	-350893	643	87	598
441	1	17049694	17	15	0	103958	-4484	0	-6379	-610	147103	96652	4380	156759	-353044	471	14	434
442	2	62957085	0	11	0	104928	-4315	0	-6285	-130	149876	96402	4410	158995	-352009	717	146	671
443	2	54000000	0	11	0	105667	-4173	0	-6191	146	152184	96152	4440	160784	-351439	764	146	714
444	0	102216860	0	7	0	109000	-4157	0	-6159	1091	155962	97933	4440	165234	-347283	925	233	869
445	0	18000000	0	7	0	109378	-4157	0	-6159	1168	156862	97933	4440	165972	-347609	987	233	926
446	1	133304704	21	10	0	106026	-4630	0	-6482	-461	150157	97933	4440	159709	-356013	646	101	602
447	1	17830945	23	15	0	105696	-4743	0	-6482	-811	149367	98179	4440	159024	-358248	471	14	434
448	2	62888025	0	11	0	106666	-4574	0	-6388	-331	152137	97929	4470	161256	-357216	717	146	671
449	2	54000000	0	11	0	107405	-4432	0	-6294	-55	154445	97679	4500	163045	-356646	764	146	714
450	0	103803019	0	7	0	110777	-4416	0	-6262	916	158310	99454	4500	167554	-352408	914	233	859
451	0	18000000	0	7	0	111155	-4416	0	-6262	993	159210	99454	4500	168292	-352734	987	233	926
452	1	133132496	21	10	0	107812	-4888	0	-6585	-631	152524	99454	4500	162047	-361064	667	124	623
453	1	18682606	22	15	0	107423	-5007	0	-6585	-1027	151618	99696	4500	161248	-363383	471	14	434
454	2	62809285	0	11	0	108391	-4838	0	-6491	-549	154385	99446	4530	163478	-362354	717	146	671
455	2	54000000	0	11	0	109130	-4696	0	-6397	-273	156693	99196	4560	165267	-361784	764	146	714
456	0	104931801	0	7	0	112533	-4680	0	-6365	757	160635	100963	4560	169838	-357473	904	233	850
457	0	18000000	0	7	0	112911	-4680	0	-6365	834	161535	100963	4560	170576	-357799	987	233	926
458	1	133033124	21	11	0	109577	-5151	0	-6688	-785	154867	100963	4560	164349	-366097	686	142	642
459	1	20456131	22	15	0	109133	-5273	0	-6688	-1229	153858	101199	4560	163450	-368491	471	14	434
460	2	62754290	0	11	0	110100	-5104	0	-6594	-751	156623	100949	4590	165677	-367464	719	146	672
461	2	54000000	0	11	0	110839	-4962	0	-6500	-475	158931	100699	4620	167466	-366894	764	146	714
462	0	106505302	0	7	0	114279	-4946	0	-6468	631	162951	102465	4620	172103	-362505	897	233	843
463	0	18000000	0	7	0	114657	-4946	0	-6468	708	163851	102465	4620	172841	-362831	987	233	926
464	1	133000000	20	11	0	111332	-5416	0	-6791	-906	157201	102465	4620	166631	-371111	706	146	660
465	1	22423171	23	13	0	110838	-5539	0	-6791	-1398	156089	102692	4620	165629	-373583	471	14	434
466	2	62717088	0	11	0	111804	-5370	0	-6697	-921	158852	102442	4650	167855	-372558	721	146	674
467	2	54000000	0	11	0	112543	-5228	0	-6603	-645	161160	102192	4680	169644	-371988	764	146	714
468	0	108158774	0	7	0	116025	-5212	0	-6571	539	165262	103958	4680	174345	-367518	892	233	839
469	0	18000000	0	7	0	116403	-5212	0	-6571	616	166162	103958	4680	175083	-367844	987	233	926
470	1	133000000	20	11	0	113078	-5682	0	-6894	-998	159512	103958	4680	168873	-376124	725	146	678
471	1	23350469	21	12	0	112533	-5811	0	-6894	-1534	158304	104179	4680	167779	-378635	472	14	435
472	2	62679405	0	11	0	113498	-5642	0	-6800	-1057	161065	103929	4710	170004	-377612	723	146	677
473	2	54000000	0	11	0	114237	-5500	0	-6706	-781	163373	103679	4740	171793	-377042	764	146	714
474	0	109791519	0	7	0	117756	-5484	0	-6674	470	167555	105445	4740	176560	-372493	888	233	835
475	0	18000000	0	7	0	118134	-5484	0	-6674	547	168455	105445	4740	177298	-372819	987	233	926
476	1	133000000	20	11	0	114809	-5954	0	-6997	-1067	161805	105445	4740	171088	-381099	736	146	688
477	1	24955881	21	11	0	114213	-6088	0	-6997	-1650	160500	105658	4740	169897	-383673	473	14	436
478	2	62720877	0	11	0	115179	-5919	0	-6903	-1173	163263	105408	4770	172123	-382648	726	146	679
479	2	54000000	0	11	0	115918	-5777	0	-6809	-897	165571	105158	4800	173912	-382078	764	146	714
480	0	111663828	0	7	0	119485	-5761	0	-6777	425	169839	106929	4800	178755	-377439	885	233	833
481	0	18000000	0	7	0	119863	-5761	0	-6777	502	170739	106929	4800	179493	-377765	987	233	926
482	1	133000000	20	11	0	116538	-6231	0	-7100	-1112	164089	106929	4800	173283	-386045	747	146	698
483	1	26999580	21	11	0	115893	-6370	0	-7100	-1742	162686	107132	4800	171992	-388689	474	14	437
484	2	62769040	0	11	0	116860	-6201	0	-7006	-1264	165451	106882	4830	174220	-387662	730	146	682
485	2	54000000	0	11	0	117599	-6059	0	-6912	-988	167759	106632	4860	176009	-387092	764	146	714
486	0	113701013	0	7	0	121214	-6043	0	-6880	397	172114	108409	4860	180929	-382362	884	233	831
487	0	18000000	0	7	0	121592	-6043	0	-6880	474	173014	108409	4860	181667	-382688	987	233	926
488	1	133000000	20	11	0	118267	-6513	0	-7203	-1140	166364	108409	4860	175457	-390968	753	146	704
489	1	28180331	21	11	0	117575	-6662	0	-7203	-1813	164870	108616	4860	174083	-393694	475	14	438
490	2	62792625	0	11	0	118543	-6493	0	-7109	-1335	167636	108366	4890	176312	-392666	734	146	686
491	2	54000000	0	11	0	119282	-6351	0	-7015	-1059	169944	108116	4920	178101	-392096	764	146	714
492	0	115475988	0	7	0	122942	-6335	0	-6983	385	174387	109895	4920	183088	-387276	884	233	831
493	0	18000000	0	7	0	123320	-6335	0	-6983	462	175287	109895	4920	183826	-387602	987	233	926
494	1	133000000	20	11	0	119995	-6805	0	-7306	-1152	168637	109895	4920	177616	-395882	755	146	706
495	1	29829972	21	11	0	119256	-6960	0	-7306	-1871	167052	110098	4920	176149	-398685	476	14	438
496	2	62836725	0	11	0	120224	-6791	0	-7212	-1392	169820	109848	4950	178379	-397655	738	146	690
497	2	54000000	0	11	0	120963	-6649	0	-7118	-1116	172128	109598	4980	180168	-397085	764	146	714
498	0	117450111	0	7	0	124667	-6633	0	-7086	385	176657	111380	4980	185231	-392176	884	233	831
499	0	18000000	0	7	0	125045	-6633	0	-7086	462	177557	111380	4980	185969	-392502	987	233	926
500	1	133000000	20	11	0	121720	-7103	0	-7409	-1152	170907	111380	4980	179759	-400782	757	146	708
501	1	31879381	21	11	0	120928	-7263	0	-7409	-1922	169224	111568	4980	178193	-403656	476	14	439
502	2	62915122	0	11	0	121898	-7094	0	-7315	-1442	171995	111318	5010	180427	-402623	741	146	693
503	2	54000000	0	11	0	122637	-6952	0	-7221	-1166	174303	111068	5040	182216	-402053	764	146	714
504	0	119406658	0	7	0	126390	-6936	0	-7189	385	178919	112855	5040	187357	-397053	884	233	831
505	0	18000000	0	7	0	126768	-6936	0	-7189	462	179819	112855	5040	188095	-397379	987	233	926
506	1	133000000	20	11	0	123443	-7406	0	-7512	-1152	173169	112855	5040	181885	-405659	759	146	710
507	1	32392097	21	11	0	122599	-7572	0	-7512	-1973	171389	113026	5040	180224	-408608	477	14	439
508	2	63001736	0	11	0	123571	-7403	0	-7418	-1493	174163	112776	5070	182460	-407572	744	146	695
509	2	54000000	0	11	0	124310	-7261	0	-7324	-1217	176471	112526	5100	184249	-407002	764	146	714
510	0	121138717	0	7	0	128117	-7245	0	-7292	389	181171	114321	5100	189468	-401910	884	233	831
511	0	18000000	0	7	0	128495	-7245	0	-7292	466	182071	114321	5100	190206	-402236	987	233	926
512	1	133000000	20	11	0	125170	-7715	0	-7615	-1148	175421	114321	5100	183996	-410516	762	146	712
513	1	33561600	21	11	0	124275	-7887	0	-7615	-2020	173546	114475	5100	182236	-413536	477	14	440
514	2	63086858	0	11	0	125248	-7718	0	-7521	-1538	176323	114225	5130	184475	-412497	746	146	698
515	2	54000000	0	11	0	125987	-7576	0	-7427	-1262	178631	113975	5160	186264	-411927	764	146	714
516	0	123072063	0	7	0	129840	-7560	0	-7395	399	183417	115778	5160	191556	-406741	885	233	832
517	0	18000000	0	7	0	130218	-7560	0	-7395	476	184317	115778	5160	192294	-407067	987	233	926
518	1	133000000	20	11	0	126893	-8030	0	-7718	-1138	177667	115778	5160	186084	-415347	763	146	713
519	1	35534686	21	11	0	125946	-8207	0	-7718	-2059	175698	115914	5160	184227	-418444	477	14	440
520	2	63192237	0	11	0	126921	-8038	0	-7624	-1577	178479	115664	5190	186470	-417401	748	146	699
521	2	54000000	0	11	0	127660	-7896	0	-7530	-1301	180787	115414	5220	188259	-416831	764	146	714
522	0	124907990	0	7	0	131563	-7880	0	-7498	414	185659	117226	5220	193627	-411552	886	233	833
523	0	18000000	0	7	0	131941	-7880	0	-7498	491	186559	117226	5220	194365	-411878	987	233	926
524	1	132976216	21	11	0	128617	-8350	0	-7821	-1123	179909	117226	5220	188155	-420158	764	146	714
525	1	36471375	21	11	0	127618	-8533	0	-7821	-2093	177845	117346	5220	186201	-423337	478	14	440
526	2	63295333	0	11	0	128595	-8363	0	-7727	-1609	180631	117096	5250	188449	-422289	750	146	701
527	2	54000000	0	11	0	129334	-8221	0	-7633	-1333	182939	116846	5280	190238	-421719	764	146	714
528	0	126757557	0	7	0	133290	-8205	0	-7601	434	187896	118667	5280	195682	-416348	887	233	834
529	0	18000000	0	7	0	133668	-8205	0	-7601	511	188796	118667	5280	196420	-416674	987	233	926
530	1	132879741	21	11	0	130337	-8675	0	-7928	-1104	182134	118667	5280	190200	-424966	764	146	714
531	1	37553710	21	11	0	129293	-8862	0	-7928	-2118	179988	118770	5280	188161	-428217	478	14	440
532	2	63344537	0	11	0	130272	-8692	0	-7834	-1633	182777	118520	5310	190412	-427166	751	146	702
533	2	54000000	0	11	0	131011	-8550	0	-7740	-1357	185085	118270	5340	192201	-426596	764	146	714
534	0	128649618	0	7	0	135016	-8534	0	-7708	463	190128	120102	5340	197724	-421130	889	233	836
535	0	18000000	0	7	0	135394	-8534	0	-7708	540	191028	120102	5340	198462	-421456	987	233	926
536	1	132835224	21	11	0	132058	-9004	0	-8038	-1076	184354	120102	5340	192231	-429760	764	146	714
537	1	39242589	21	11	0	130969	-9195	0	-8038	-2134	182127	120187	5340	190106	-433087	478	14	440
538	2	63401681	0	11	0	131950	-9025	0	-7944	-1646	184920	119937	5370	192361	-432032	752	146	703
539	2	54000000	0	11	0	132689	-8883	0	-7850	-1370	187228	119687	5400	194150	-431462	764	146	714
540	0	130602824	0	7	0	136749	-8867	0	-7818	496	192355	121531	5400	199749	-425900	891	233	838
541	0	18000000	0	7	0	137127	-8867	0	-7818	573	193255	121531	5400	200487	-426226	987	233	926
542	1	132833056	21	11	0	133785	-9337	0	-8152	-1044	186569	121531	5400	194246	-434542	764	146	714
543	1	41188361	21	11	0	132650	-9534	0	-8152	-2143	184261	121599	5400	192039	-437944	478	14	440
544	2	63466362	0	11	0	133633	-9363	0	-8058	-1653	187059	121349	5430	194299	-436884	752	146	703
545	2	54000000	0	11	0	134372	-9221	0	-7964	-1377	189367	121099	5460	196088	-436314	764	146	714
546	0	132471398	0	7	0	138483	-9205	0	-7932	538	194580	122952	5460	201763	-430657	894	233	840
