fixture,truth,panel_corr,mean_abs_illum_diff_R,mean_abs_illum_diff_G,mean_abs_illum_diff_B,finding
r2a_colorconst_0557.img,SAME_SURFACE,0.4601,3.9,32.4,53.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0558.img,SAME_SURFACE,0.6344,0.4,30.5,55.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0559.img,SAME_SURFACE,-0.3919,53.4,22.3,20.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0560.img,SAME_SURFACE,0.6264,14.4,3.1,28.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0561.img,SAME_SURFACE,0.7803,12.7,31.2,55.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0562.img,SAME_SURFACE,0.6919,7.0,7.7,35.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0563.img,SAME_SURFACE,0.4297,2.1,2.7,13.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0564.img,SAME_SURFACE,0.3234,5.1,11.2,28.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0565.img,SAME_SURFACE,0.4913,1.7,18.6,29.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0566.img,SAME_SURFACE,0.3179,25.7,7.0,23.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0567.img,SAME_SURFACE,0.7973,14.7,3.3,47.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0568.img,SAME_SURFACE,0.6007,17.6,13.5,40.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0569.img,SAME_SURFACE,0.5086,65.0,54.0,2.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0570.img,SAME_SURFACE,0.4867,42.8,5.5,42.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0571.img,SAME_SURFACE,0.6407,8.5,30.1,49.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0572.img,SAME_SURFACE,0.5933,19.4,24.2,34.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0573.img,SAME_SURFACE,0.9201,11.2,1.9,14.3,MISLABELED: high-corr but no same-crop alignment at any shift in +-32 (different crop/photo)
r2a_colorconst_0574.img,SAME_SURFACE,0.4085,16.1,39.1,16.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0575.img,SAME_SURFACE,0.2308,14.8,0.1,14.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0576.img,SAME_SURFACE,0.1606,15.5,8.7,34.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0577.img,SAME_SURFACE,0.5987,12.7,26.7,33.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0578.img,SAME_SURFACE,0.5366,0.3,3.3,10.4,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0579.img,SAME_SURFACE,0.7528,5.4,6.0,32.4,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0580.img,SAME_SURFACE,0.4512,34.3,70.0,36.4,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0581.img,SAME_SURFACE,0.9663,18.0,5.4,24.7,MISLABELED: high-corr but no same-crop alignment at any shift in +-32 (different crop/photo)
r2a_colorconst_0582.img,SAME_SURFACE,0.1577,28.8,5.1,22.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0583.img,SAME_SURFACE,0.9163,8.8,2.9,15.0,MISLABELED: high-corr but no same-crop alignment at any shift in +-32 (different crop/photo)
r2a_colorconst_0584.img,SAME_SURFACE,0.7485,1.6,19.6,64.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0585.img,SAME_SURFACE,0.136,36.1,38.6,39.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0586.img,SAME_SURFACE,0.772,24.4,11.7,46.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0587.img,SAME_SURFACE,0.5994,17.4,36.6,70.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0588.img,SAME_SURFACE,0.8568,10.1,22.5,46.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0589.img,SAME_SURFACE,0.2284,28.4,6.6,10.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0590.img,SAME_SURFACE,0.6387,24.0,0.5,23.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0591.img,SAME_SURFACE,0.7069,23.1,0.0,25.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0592.img,SAME_SURFACE,0.5001,3.1,15.7,35.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0593.img,SAME_SURFACE,0.3075,26.6,48.9,65.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0594.img,SAME_SURFACE,0.2657,27.5,67.3,99.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0595.img,SAME_SURFACE,0.3406,19.2,9.0,37.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0596.img,SAME_SURFACE,0.4764,44.4,11.5,12.4,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0597.img,SAME_SURFACE,0.4084,60.9,26.0,33.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0598.img,SAME_SURFACE,0.9529,7.6,2.2,39.6,MISLABELED: high-corr but no same-crop alignment at any shift in +-32 (different crop/photo)
r2a_colorconst_0599.img,SAME_SURFACE,0.7145,21.9,5.2,30.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0600.img,SAME_SURFACE,0.4544,6.1,29.0,56.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0601.img,SAME_SURFACE,0.4841,60.9,49.5,27.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0602.img,SAME_SURFACE,0.5733,44.4,6.4,35.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0603.img,SAME_SURFACE,0.6216,8.2,28.6,50.4,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0604.img,SAME_SURFACE,0.469,35.3,19.6,21.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0605.img,SAME_SURFACE,0.0894,17.0,13.0,44.4,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0606.img,SAME_SURFACE,0.4805,33.6,8.5,25.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0607.img,SAME_SURFACE,0.4512,12.0,6.9,28.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0608.img,SAME_SURFACE,0.5855,6.9,12.3,29.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0609.img,SAME_SURFACE,0.4801,47.0,7.5,34.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0610.img,SAME_SURFACE,0.0911,72.5,35.9,7.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0611.img,SAME_SURFACE,0.7961,49.2,14.6,26.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0612.img,SAME_SURFACE,0.632,10.9,36.8,39.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0613.img,SAME_SURFACE,0.2456,19.0,8.7,25.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0614.img,SAME_SURFACE,0.0822,69.3,74.7,80.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0615.img,SAME_SURFACE,0.4038,54.6,14.6,23.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0616.img,SAME_SURFACE,0.2892,28.8,7.4,38.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0617.img,SAME_SURFACE,0.4948,34.0,8.6,22.4,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0618.img,SAME_SURFACE,0.7363,8.4,13.1,32.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0619.img,SAME_SURFACE,0.0112,1.1,14.8,24.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0620.img,SAME_SURFACE,0.5783,25.2,36.7,51.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0621.img,SAME_SURFACE,0.6371,34.3,59.6,85.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0622.img,SAME_SURFACE,-0.026,37.2,10.6,19.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0623.img,SAME_SURFACE,0.4735,1.8,19.6,40.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0624.img,SAME_SURFACE,0.2229,20.0,3.4,43.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0625.img,SAME_SURFACE,0.2991,27.0,6.8,38.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0626.img,SAME_SURFACE,0.2459,6.4,21.4,34.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0627.img,SAME_SURFACE,0.4914,21.8,3.1,28.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0628.img,SAME_SURFACE,0.393,70.1,31.7,34.4,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0629.img,SAME_SURFACE,0.706,14.3,21.2,54.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0630.img,SAME_SURFACE,0.2123,7.8,6.3,14.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0631.img,SAME_SURFACE,0.6164,42.0,16.1,13.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0632.img,SAME_SURFACE,-0.3173,60.4,36.7,2.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0633.img,SAME_SURFACE,0.5278,24.9,3.5,30.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0634.img,SAME_SURFACE,0.4365,38.3,3.6,34.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0635.img,SAME_SURFACE,0.3945,39.2,12.6,16.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0636.img,SAME_SURFACE,0.7819,17.8,22.3,23.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0637.img,SAME_SURFACE,0.2875,20.8,1.6,13.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0638.img,SAME_SURFACE,0.9995,0.1,14.3,55.3,MISLABELED: high-corr but no same-crop alignment at any shift in +-32 (different crop/photo)
r2a_colorconst_0639.img,SAME_SURFACE,0.1111,37.0,3.8,29.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0640.img,SAME_SURFACE,0.226,17.9,3.0,16.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0641.img,SAME_SURFACE,0.4765,40.7,22.7,25.4,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0642.img,SAME_SURFACE,0.6109,22.4,0.0,21.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0643.img,SAME_SURFACE,0.5997,35.5,6.8,18.4,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0644.img,SAME_SURFACE,0.0469,6.2,16.3,25.5,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0645.img,SAME_SURFACE,0.3033,51.9,22.5,7.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0646.img,SAME_SURFACE,0.4749,28.8,14.0,47.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0647.img,SAME_SURFACE,0.2564,17.6,0.3,11.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0648.img,SAME_SURFACE,0.299,1.1,26.3,22.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0649.img,SAME_SURFACE,0.6679,23.9,4.7,41.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0650.img,SAME_SURFACE,0.6569,1.7,23.3,43.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0651.img,SAME_SURFACE,0.2188,74.2,34.1,10.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0652.img,SAME_SURFACE,0.0556,37.6,6.8,23.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0653.img,SAME_SURFACE,0.1652,16.4,5.9,39.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0654.img,SAME_SURFACE,0.4455,31.6,77.0,37.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0655.img,SAME_SURFACE,0.2436,5.8,13.2,19.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0656.img,SAME_SURFACE,0.1463,36.1,12.7,18.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0657.img,SAME_SURFACE,0.4164,30.1,41.2,49.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0658.img,SAME_SURFACE,0.6311,13.6,31.5,37.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0659.img,SAME_SURFACE,0.3147,41.8,9.1,20.6,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0660.img,SAME_SURFACE,0.3769,34.1,0.4,28.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0661.img,SAME_SURFACE,0.8697,18.2,15.7,49.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0662.img,SAME_SURFACE,0.2984,33.1,1.9,34.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0663.img,SAME_SURFACE,0.3163,27.3,1.5,21.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0664.img,SAME_SURFACE,0.3786,10.5,16.5,21.1,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0665.img,SAME_SURFACE,0.521,45.8,12.1,18.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0666.img,SAME_SURFACE,0.8238,43.6,13.9,32.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0667.img,SAME_SURFACE,0.5542,23.2,14.1,47.8,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0668.img,SAME_SURFACE,0.6611,14.8,38.1,38.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0669.img,SAME_SURFACE,0.8995,0.3,16.2,41.3,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0670.img,SAME_SURFACE,0.4486,25.2,60.8,30.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0671.img,SAME_SURFACE,0.0331,49.1,28.7,7.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0672.img,SAME_SURFACE,0.2681,22.5,3.8,22.2,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0673.img,SAME_SURFACE,0.3687,49.3,23.5,3.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0674.img,SAME_SURFACE,0.6726,29.4,0.3,30.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0675.img,SAME_SURFACE,0.4896,35.0,81.5,39.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0676.img,SAME_SURFACE,0.4791,13.9,6.9,26.7,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0677.img,SAME_SURFACE,0.5725,15.3,4.1,48.0,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0678.img,SAME_SURFACE,0.4029,20.0,20.6,57.9,MISLABELED: panels are different photos (corr<0.9)
r2a_colorconst_0679.img,SAME_SURFACE,0.8874,0.1,21.3,55.6,MISLABELED: panels are different photos (corr<0.9)
