step	param	old	new	L
8	6	264	272	59734600314577
8	0	2200	2208	59710024063183
-8	1	-1144	-1152	59665972339581
-8	3	-1448	-1456	59648877428253
8	0	2208	2216	59642079974727
-8	1	-1152	-1160	59607236034898
-8	3	-1456	-1464	59577144518497
-8	5	-344	-352	59559085560114
8	0	2216	2224	59523959418789
-8	1	-1160	-1168	59520327691278
-8	3	-1464	-1472	59496131714608
8	0	2224	2232	59474157553077
-8	1	-1168	-1176	59442990386955
-8	3	-1472	-1480	59413556672092
-8	1	-1176	-1184	59380422348479
-8	3	-1480	-1488	59350061594105
8	6	272	280	59350059736887
-8	1	-1184	-1192	59325243074915
-8	3	-1488	-1496	59296686380487
8	6	280	288	59296683062965
-8	1	-1192	-1200	59280273265678
-8	3	-1496	-1504	59253275730137
8	6	288	296	59253271471905
-8	1	-1200	-1208	59232035272914
-8	3	-1504	-1512	59202263294336
8	6	296	304	59202256988512
-8	1	-1208	-1216	59168941751357
-8	3	-1512	-1520	59147334494243
8	6	304	312	59147326271787
-8	1	-1216	-1224	59126715616059
-8	3	-1520	-1528	59105341527460
8	6	312	320	59105331769292
-8	3	-1528	-1536	59078724898689
8	6	320	328	59078715140521
-8	3	-1536	-1544	59061820854064
8	6	328	336	59061812119704
-8	1	-1224	-1232	59055794135579
-8	3	-1544	-1552	59036537899235
8	6	336	344	59036527117259
8	0	2232	2240	59029412805437
-8	1	-1232	-1240	59000540035665
-8	3	-1552	-1560	58977390044120
8	6	344	352	58977386170816
-8	1	-1240	-1248	58942813688111
-8	3	-1560	-1568	58915405056861
8	6	352	360	58915399822451
-8	1	-1248	-1256	58887659674037
-8	3	-1568	-1576	58867868390766
8	6	360	368	58867860918292
-8	1	-1256	-1264	58852482140495
-8	3	-1576	-1584	58827130756423
8	6	368	376	58827122022063
-8	1	-1264	-1272	58805770204820
-8	3	-1584	-1592	58783125600501
8	6	376	384	58783114818525
-8	1	-1272	-1280	58748892252013
-8	3	-1592	-1600	58732152244290
8	6	384	392	58732139306880
8	0	2240	2248	58731523835384
-8	1	-1280	-1288	58720558956012
-8	3	-1600	-1608	58698602762802
-8	4	192	184	58684597000962
8	6	392	400	58684580798064
8	0	2248	2256	58670776042298
-8	1	-1288	-1296	58658931535598
-8	3	-1608	-1616	58635972655402
8	6	400	408	58635966797994
-8	1	-1296	-1304	58609571304485
-8	3	-1616	-1624	58589614778073
8	6	408	416	58589607305599
-8	1	-1304	-1312	58560730708427
-8	3	-1624	-1632	58538537134986
8	6	416	424	58538527888722
-8	1	-1312	-1320	58513882924026
-8	3	-1632	-1640	58494267012429
8	6	424	432	58494254622635
-8	3	-1640	-1648	58476794339775
8	6	432	440	58476783557799
-8	3	-1648	-1656	58463409043401
8	6	440	448	58463398773329
-8	1	-1320	-1328	58460462356288
-8	3	-1656	-1664	58446334677896
8	6	448	456	58446319629502
8	0	2256	2264	58435604227032
-8	1	-1328	-1336	58410826602562
-8	3	-1664	-1672	58395706578677
8	6	456	464	58395701760939
-8	1	-1336	-1344	58374198436667
-8	3	-1672	-1680	58356350473966
8	6	464	472	58356344168142
-8	1	-1344	-1352	58328209641363
-8	3	-1680	-1688	58315488901525
8	6	472	480	58315480167165
-8	1	-1352	-1360	58297521644041
-8	3	-1688	-1696	58279328689372
8	6	480	488	58279318419300
-8	1	-1360	-1368	58256336681321
-8	3	-1696	-1704	58237402066448
8	6	488	496	58237387018054
-8	1	-1368	-1376	58219292586316
-8	3	-1704	-1712	58207772485324
8	6	496	504	58207751985024
-8	1	-1376	-1384	58180865843218
-8	3	-1712	-1720	58164775306961
8	6	504	512	58164748437879
-8	3	-1720	-1728	58153546795039
8	6	512	520	58153521378263
-8	3	-1728	-1736	58140571763508
8	6	520	528	58140548501402
-8	3	-1736	-1744	58124438367067
8	6	528	536	58124417164399
-8	3	-1744	-1752	58110099430587
8	6	536	544	58110078930287
-8	3	-1752	-1760	58095674652882
8	6	544	552	58095656085040
-8	3	-1760	-1768	58086141287088
8	6	552	560	58086124556472
-8	3	-1768	-1776	58074905235158
8	6	560	568	58074888504542
-8	3	-1776	-1784	58060327948505
8	6	568	576	58060313971477
8	0	2264	2272	58058876416666
-8	3	-1784	-1792	58045233977723
8	6	576	584	58045231009417
-8	3	-1792	-1800	58041076022224
-8	4	184	176	58038351381134
8	6	584	592	58038340746036
8	0	2272	2280	58024228185878
-8	1	-1384	-1392	57998000327181
-8	3	-1800	-1808	57993451687655
8	6	592	600	57993448719349
-8	1	-1392	-1400	57977062486561
-8	3	-1808	-1816	57966603914698
8	6	600	608	57966599096960
-8	1	-1400	-1408	57928818790161
-8	3	-1816	-1824	57915777810329
8	6	608	616	57915771952921
-8	3	-1824	-1832	57911718526618
8	6	616	624	57911712669210
-8	3	-1832	-1840	57899946237214
8	6	624	632	57899941002804
-8	3	-1840	-1848	57884539943047
8	6	632	640	57884535125309
-8	3	-1848	-1856	57877737681424
8	6	640	648	57877732863686
-8	3	-1856	-1864	57866511701836
8	6	648	656	57866507828532
-8	3	-1864	-1872	57864244633699
8	6	656	664	57864240760395
8	0	2280	2288	57863006810024
-8	1	-1408	-1416	57861824299006
-8	3	-1872	-1880	57854022174599
8	6	664	672	57854021777749
-8	1	-1416	-1424	57824003573057
-8	3	-1880	-1888	57822978857891
8	6	672	680	57822978080065
-8	1	-1424	-1432	57813436092393
-8	3	-1888	-1896	57803531588112
8	6	680	688	57803530016622
-8	1	-1432	-1440	57772991678028
-8	3	-1896	-1904	57765182556085
8	6	688	696	57765180333805
-8	1	-1440	-1448	57752953691429
-8	3	-1904	-1912	57742751978070
8	6	696	704	57742748104766
-8	1	-1448	-1456	57727628345140
-8	3	-1912	-1920	57714864417930
8	6	704	712	57714859600192
-8	1	-1456	-1464	57702527145853
8	6	712	720	57702526368027
-8	1	-1464	-1472	57689525944400
-8	3	-1920	-1928	57681982779836
8	6	720	728	57681981208346
8	0	2288	2296	57680912663557
-8	1	-1472	-1480	57672666668112
-8	3	-1928	-1936	57666480921804
8	6	728	736	57666480778938
-8	0	2296	2288	57664397672961
-8	1	-1480	-1488	57664076916865
-8	3	-1936	-1944	57660171112353
8	6	736	744	57660167239049
8	0	2288	2296	57649771455589
-8	1	-1488	-1496	57642598476931
-8	3	-1944	-1952	57634724018608
8	6	744	752	57634723447144
-8	1	-1496	-1504	57608175908493
-8	3	-1952	-1960	57600788348890
8	6	752	760	57600787571064
-8	3	-1960	-1968	57590908189217
8	6	760	768	57590907411391
-1	5	-352	-353	57589098954757
