# R2-2 enrolled true exemplars: 370 frozen noise fixtures
# idx | task | truth | source (lab-relative)
0 | colordisc | SAME | senses/rebuild/harness/fixtures/t1_colordisc/noise/p000.img
283 | timbredisc | BRIGHT | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p033.pcm
284 | timbredisc | DARK | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p034.pcm
285 | timbredisc | RICH | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p035.pcm
286 | timbredisc | PURE | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p036.pcm
287 | timbredisc | BRIGHT | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p037.pcm
288 | timbredisc | DARK | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p038.pcm
289 | timbredisc | RICH | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p039.pcm
290 | timbredisc | PURE | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p040.pcm
291 | timbredisc | BRIGHT | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p041.pcm
292 | timbredisc | DARK | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p042.pcm
293 | timbredisc | RICH | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p043.pcm
294 | timbredisc | PURE | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p044.pcm
295 | timbredisc | BRIGHT | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p045.pcm
296 | timbredisc | DARK | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p046.pcm
297 | timbredisc | RICH | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p047.pcm
298 | timbredisc | PURE | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p048.pcm
299 | timbredisc | BRIGHT | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p049.pcm
300 | timbredisc | DARK | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p050.pcm
301 | timbredisc | RICH | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p051.pcm
302 | timbredisc | PURE | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p052.pcm
303 | timbredisc | BRIGHT | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p053.pcm
304 | timbredisc | DARK | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p054.pcm
305 | timbredisc | RICH | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p055.pcm
306 | timbredisc | PURE | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p056.pcm
307 | timbredisc | BRIGHT | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p057.pcm
308 | timbredisc | DARK | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p058.pcm
309 | timbredisc | RICH | senses/rebuild/harness/fixtures/t5_timbredisc/noise/p059.pcm
310 | motiondir | STILL | senses/rebuild/harness/fixtures/t6_motiondir/noise/p000.vid
311 | motiondir | STILL | senses/rebuild/harness/fixtures/t6_motiondir/noise/p001.vid
312 | motiondir | STILL | senses/rebuild/harness/fixtures/t6_motiondir/noise/p002.vid
313 | motiondir | STILL | senses/rebuild/harness/fixtures/t6_motiondir/noise/p003.vid
314 | motiondir | E | senses/rebuild/harness/fixtures/t6_motiondir/noise/p004.vid
315 | motiondir | N | senses/rebuild/harness/fixtures/t6_motiondir/noise/p005.vid
316 | motiondir | NE | senses/rebuild/harness/fixtures/t6_motiondir/noise/p006.vid
317 | motiondir | NW | senses/rebuild/harness/fixtures/t6_motiondir/noise/p007.vid
318 | motiondir | S | senses/rebuild/harness/fixtures/t6_motiondir/noise/p008.vid
319 | motiondir | SE | senses/rebuild/harness/fixtures/t6_motiondir/noise/p009.vid
320 | motiondir | SW | senses/rebuild/harness/fixtures/t6_motiondir/noise/p010.vid
321 | motiondir | W | senses/rebuild/harness/fixtures/t6_motiondir/noise/p011.vid
322 | motiondir | E | senses/rebuild/harness/fixtures/t6_motiondir/noise/p012.vid
323 | motiondir | N | senses/rebuild/harness/fixtures/t6_motiondir/noise/p013.vid
324 | motiondir | NE | senses/rebuild/harness/fixtures/t6_motiondir/noise/p014.vid
325 | motiondir | NW | senses/rebuild/harness/fixtures/t6_motiondir/noise/p015.vid
326 | motiondir | S | senses/rebuild/harness/fixtures/t6_motiondir/noise/p016.vid
327 | motiondir | SE | senses/rebuild/harness/fixtures/t6_motiondir/noise/p017.vid
328 | motiondir | SW | senses/rebuild/harness/fixtures/t6_motiondir/noise/p018.vid
329 | motiondir | W | senses/rebuild/harness/fixtures/t6_motiondir/noise/p019.vid
330 | motiondir | E | senses/rebuild/harness/fixtures/t6_motiondir/noise/p020.vid
331 | motiondir | N | senses/rebuild/harness/fixtures/t6_motiondir/noise/p021.vid
332 | motiondir | NE | senses/rebuild/harness/fixtures/t6_motiondir/noise/p022.vid
333 | motiondir | NW | senses/rebuild/harness/fixtures/t6_motiondir/noise/p023.vid
334 | motiondir | S | senses/rebuild/harness/fixtures/t6_motiondir/noise/p024.vid
335 | motiondir | SE | senses/rebuild/harness/fixtures/t6_motiondir/noise/p025.vid
336 | motiondir | SW | senses/rebuild/harness/fixtures/t6_motiondir/noise/p026.vid
337 | motiondir | W | senses/rebuild/harness/fixtures/t6_motiondir/noise/p027.vid
338 | motiondir | E | senses/rebuild/harness/fixtures/t6_motiondir/noise/p028.vid
339 | motiondir | N | senses/rebuild/harness/fixtures/t6_motiondir/noise/p029.vid
340 | motiondir | NE | senses/rebuild/harness/fixtures/t6_motiondir/noise/p030.vid
341 | motiondir | NW | senses/rebuild/harness/fixtures/t6_motiondir/noise/p031.vid
342 | motiondir | S | senses/rebuild/harness/fixtures/t6_motiondir/noise/p032.vid
343 | motiondir | SE | senses/rebuild/harness/fixtures/t6_motiondir/noise/p033.vid
344 | motiondir | SW | senses/rebuild/harness/fixtures/t6_motiondir/noise/p034.vid
345 | motiondir | W | senses/rebuild/harness/fixtures/t6_motiondir/noise/p035.vid
346 | motiondir | E | senses/rebuild/harness/fixtures/t6_motiondir/noise/p036.vid
347 | motiondir | N | senses/rebuild/harness/fixtures/t6_motiondir/noise/p037.vid
348 | motiondir | NE | senses/rebuild/harness/fixtures/t6_motiondir/noise/p038.vid
349 | motiondir | NW | senses/rebuild/harness/fixtures/t6_motiondir/noise/p039.vid
350 | motiondir | S | senses/rebuild/harness/fixtures/t6_motiondir/noise/p040.vid
351 | motiondir | SE | senses/rebuild/harness/fixtures/t6_motiondir/noise/p041.vid
352 | motiondir | SW | senses/rebuild/harness/fixtures/t6_motiondir/noise/p042.vid
353 | motiondir | W | senses/rebuild/harness/fixtures/t6_motiondir/noise/p043.vid
354 | motiondir | E | senses/rebuild/harness/fixtures/t6_motiondir/noise/p044.vid
355 | motiondir | N | senses/rebuild/harness/fixtures/t6_motiondir/noise/p045.vid
356 | motiondir | NE | senses/rebuild/harness/fixtures/t6_motiondir/noise/p046.vid
357 | motiondir | NW | senses/rebuild/harness/fixtures/t6_motiondir/noise/p047.vid
358 | motiondir | S | senses/rebuild/harness/fixtures/t6_motiondir/noise/p048.vid
359 | motiondir | SE | senses/rebuild/harness/fixtures/t6_motiondir/noise/p049.vid
360 | motiondir | SW | senses/rebuild/harness/fixtures/t6_motiondir/noise/p050.vid
361 | motiondir | W | senses/rebuild/harness/fixtures/t6_motiondir/noise/p051.vid
362 | motiondir | E | senses/rebuild/harness/fixtures/t6_motiondir/noise/p052.vid
363 | motiondir | N | senses/rebuild/harness/fixtures/t6_motiondir/noise/p053.vid
364 | motiondir | NE | senses/rebuild/harness/fixtures/t6_motiondir/noise/p054.vid
365 | motiondir | NW | senses/rebuild/harness/fixtures/t6_motiondir/noise/p055.vid
366 | motiondir | S | senses/rebuild/harness/fixtures/t6_motiondir/noise/p056.vid
367 | motiondir | SE | senses/rebuild/harness/fixtures/t6_motiondir/noise/p057.vid
368 | motiondir | SW | senses/rebuild/harness/fixtures/t6_motiondir/noise/p058.vid
369 | motiondir | W | senses/rebuild/harness/fixtures/t6_motiondir/noise/p059.vid
