# vid	b	t	win	coh_pm	g_pm	ebar	n_vote	e_total	agree	agree_dir	pair_wins	still_like
kcfs1-ryKWE	4	1050	5	732	1307	634	325	206287	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	3	90	5	435	1573	515	394	203169	7	5	5,5,5,5,5,5,5	False
OQSNhk5ICTI	2	1710	3	789	1470	489	408	199526	7	3	3,3,3,3,3,3,3	False
OQSNhk5ICTI	2	2955	3	806	1361	624	318	198710	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	3	1935	1	538	1258	617	321	198234	7	1	1,1,1,1,1,1,1	False
uKNQCPXDNdc	4	3105	7	885	1011	725	268	194519	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	3	1950	1	572	1254	658	295	194352	7	1	1,1,1,1,1,1,1	False
kcfs1-ryKWE	2	405	5	432	1360	539	352	189933	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	2	1095	5	776	1209	820	229	187789	7	5	5,5,5,5,5,5,5	False
bwJ-TNu0hGM	4	1065	3	561	1708	2375	79	187629	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	3	1455	7	859	1557	2670	70	186949	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	4	345	7	391	1519	513	364	186916	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	3	1965	1	632	1210	635	294	186849	7	1	1,1,1,1,1,1,1	False
kcfs1-ryKWE	2	1740	1	547	1419	620	298	184877	7	1	1,1,1,1,1,1,1	False
kcfs1-ryKWE	2	1875	1	362	1184	666	277	184618	7	1	1,1,1,1,1,1,1	False
kcfs1-ryKWE	2	1215	7	629	1229	464	397	184517	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	3	1065	5	795	1257	679	268	182079	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	2	1125	5	463	1052	596	303	180712	7	5	5,5,5,5,5,5,5	False
uKNQCPXDNdc	4	2715	7	966	1007	697	259	180712	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	705	5	605	1202	606	297	180165	7	5	5,5,5,5,5,5,5	False
bwJ-TNu0hGM	4	75	7	626	1610	2338	77	180053	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	3	1035	7	728	1412	649	274	177914	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	2	1440	7	860	1272	2018	88	177586	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	1860	1	351	1253	619	284	175824	7	1	1,1,1,1,1,1,1	False
bwJ-TNu0hGM	3	60	7	856	1816	2925	60	175520	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	1890	1	473	1090	630	277	174726	7	1	1,1,1,1,1,1,1	False
bwJ-TNu0hGM	3	1065	3	740	1605	2441	71	173315	7	3	3,3,3,3,3,3,3	False
uKNQCPXDNdc	4	2145	7	931	1008	708	242	171423	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	4	1470	7	683	1860	3428	50	171419	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	1110	5	656	1117	661	255	168664	7	5	5,5,5,5,5,5,5	False
bwJ-TNu0hGM	4	90	7	649	1430	1954	86	168102	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	1365	7	398	1594	467	358	167214	7	7	7,7,7,7,7,7,7	False
OQSNhk5ICTI	2	5040	7	652	1700	421	397	167162	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	4	180	7	512	1552	469	351	164960	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	90	5	366	1509	450	365	164608	7	5	5,5,5,5,5,5,5	False
uKNQCPXDNdc	2	1035	7	746	1276	638	257	163994	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	4	3675	3	688	1480	2179	75	163427	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	2	810	5	363	1429	558	291	162625	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	2	1905	1	573	1111	579	279	161543	7	1	1,1,1,1,1,1,1	False
kcfs1-ryKWE	3	285	7	341	1617	469	340	159553	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	390	5	513	1349	412	383	157852	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	2	120	5	395	1465	527	292	153940	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	3	1620	2	320	1397	458	332	152065	7	2	2,2,2,2,2,2,2	False
bwJ-TNu0hGM	2	1455	7	857	1151	1923	79	151969	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	3	1335	5	470	1440	418	361	151215	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	2	1080	5	780	1125	756	199	150545	7	5	5,5,5,5,5,5,5	False
bwJ-TNu0hGM	3	1470	7	864	1612	3015	49	147748	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	4	195	7	475	1570	422	349	147486	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	1320	7	428	1294	439	333	146447	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	4	225	7	374	1600	413	343	141795	7	7	7,7,7,7,7,7,7	False
0_jNjpVxUt0	4	705	2	763	1018	667	211	140946	7	2	2,2,2,2,2,2,2	False
kcfs1-ryKWE	4	210	7	422	1580	402	348	139913	7	7	7,7,7,7,7,7,7	False
0_jNjpVxUt0	4	720	2	805	1005	705	198	139722	7	2	2,2,2,2,2,2,2	False
bwJ-TNu0hGM	3	90	7	751	1315	1826	76	138802	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	3	345	7	395	1493	433	316	137143	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	3	3660	3	654	1185	1206	113	136328	7	3	3,3,3,3,3,3,3	False
uKNQCPXDNdc	3	2115	7	859	1023	526	252	132578	7	7	7,7,7,7,7,7,7	False
0_jNjpVxUt0	4	765	2	615	1021	697	190	132497	7	2	2,2,2,2,2,2,2	False
0_jNjpVxUt0	4	735	2	791	1005	671	197	132286	7	2	2,2,2,2,2,2,2	False
bwJ-TNu0hGM	2	1485	7	900	1442	2505	52	130268	7	7	7,7,7,7,7,7,7	False
0_jNjpVxUt0	4	690	2	692	1013	595	217	129317	7	2	2,2,2,2,2,2,2	False
kcfs1-ryKWE	3	270	7	344	1558	382	335	128267	7	7	7,7,7,7,7,7,7	False
0_jNjpVxUt0	4	750	2	700	1010	654	195	127702	7	2	2,2,2,2,2,2,2	False
kcfs1-ryKWE	2	1920	1	656	1105	470	265	124626	7	1	1,1,1,1,1,1,1	False
bwJ-TNu0hGM	4	420	7	896	1704	2830	44	124540	7	7	7,7,7,7,7,7,7	False
OQSNhk5ICTI	2	4830	3	906	1446	349	356	124444	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	4	1050	3	629	1583	1715	72	123525	7	3	3,3,3,3,3,3,3	False
uKNQCPXDNdc	2	525	5	979	1195	1328	92	122180	7	5	5,5,5,5,5,5,5	False
bwJ-TNu0hGM	2	1470	7	669	1170	2527	47	118773	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	3	510	5	941	1020	813	146	118722	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	3	225	7	439	1593	370	320	118412	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	2	60	7	927	1220	2357	50	117852	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	3	1050	5	785	1185	517	227	117427	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	3	195	7	495	1589	392	292	114504	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	690	5	560	1025	409	276	112975	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	3	210	7	447	1608	356	314	112070	7	7	7,7,7,7,7,7,7	False
0_jNjpVxUt0	4	675	2	657	1004	554	201	111402	7	2	2,2,2,2,2,2,2	False
0_jNjpVxUt0	4	525	2	692	1000	613	179	109810	7	2	2,2,2,2,2,2,2	False
0_jNjpVxUt0	4	465	2	587	1025	561	195	109439	7	2	2,2,2,2,2,2,2	False
0_jNjpVxUt0	4	630	2	745	1031	566	193	109407	7	2	2,2,2,2,2,2,2	False
kcfs1-ryKWE	2	1935	1	615	1123	477	226	107890	7	1	1,1,1,1,1,1,1	False
0_jNjpVxUt0	4	645	2	688	1061	554	194	107577	7	2	2,2,2,2,2,2,2	False
0_jNjpVxUt0	4	615	2	741	1044	590	181	106902	7	2	2,2,2,2,2,2,2	False
0_jNjpVxUt0	4	180	2	828	1160	534	199	106387	7	2	2,2,2,2,2,2,2	False
0_jNjpVxUt0	4	660	2	657	1010	547	191	104483	7	2	2,2,2,2,2,2,2	False
uKNQCPXDNdc	2	3345	5	975	1130	1135	92	104437	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	2	1950	1	563	1073	478	218	104379	7	1	1,1,1,1,1,1,1	False
0_jNjpVxUt0	4	510	2	765	1031	550	188	103581	7	2	2,2,2,2,2,2,2	False
uKNQCPXDNdc	2	2040	7	928	1003	361	284	102796	7	7	7,7,7,7,7,7,7	False
0_jNjpVxUt0	4	600	2	697	1043	562	182	102442	7	2	2,2,2,2,2,2,2	False
kcfs1-ryKWE	2	1965	1	655	1068	469	218	102441	7	1	1,1,1,1,1,1,1	False
9AwUsf8HzVI	3	195	3	481	1221	1073	95	102014	7	3	3,3,3,3,3,3,3	False
0_jNjpVxUt0	4	480	2	643	1044	499	203	101397	7	2	2,2,2,2,2,2,2	False
kcfs1-ryKWE	3	1035	5	567	1178	389	257	100073	7	5	5,5,5,5,5,5,5	False
bwJ-TNu0hGM	2	75	7	702	1250	1563	64	100038	7	7	7,7,7,7,7,7,7	False
0_jNjpVxUt0	4	405	2	570	1000	540	182	98326	7	2	2,2,2,2,2,2,2	False
uKNQCPXDNdc	3	3330	5	929	1000	721	136	98148	7	5	5,5,5,5,5,5,5	False
kcfs1-ryKWE	2	1665	1	458	1353	416	235	97785	7	1	1,1,1,1,1,1,1	False
0_jNjpVxUt0	4	390	2	585	1000	535	181	96985	7	2	2,2,2,2,2,2,2	False
kcfs1-ryKWE	2	1680	1	484	1406	374	256	95847	7	1	1,1,1,1,1,1,1	False
0_jNjpVxUt0	4	495	2	756	1061	487	196	95523	7	2	2,2,2,2,2,2,2	False
0_jNjpVxUt0	4	165	2	845	1118	487	194	94614	7	2	2,2,2,2,2,2,2	False
bwJ-TNu0hGM	4	465	7	757	1298	1645	57	93820	7	7	7,7,7,7,7,7,7	False
0_jNjpVxUt0	4	195	2	911	1113	526	176	92688	7	2	2,2,2,2,2,2,2	False
kcfs1-ryKWE	2	240	7	382	1532	305	291	88915	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	225	7	358	1517	297	294	87489	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	255	7	300	1588	307	284	87191	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	15	5	443	1161	259	334	86533	7	5	5,5,5,5,5,5,5	False
0_jNjpVxUt0	4	75	2	735	1000	502	170	85450	7	2	2,2,2,2,2,2,2	False
0_jNjpVxUt0	4	210	2	888	1159	479	176	84471	7	2	2,2,2,2,2,2,2	False
uKNQCPXDNdc	2	2085	7	875	1000	389	214	83256	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	2	3675	3	813	1044	1240	67	83137	7	3	3,3,3,3,3,3,3	False
0_jNjpVxUt0	4	90	2	714	1005	458	173	79366	7	2	2,2,2,2,2,2,2	False
0_jNjpVxUt0	4	60	2	730	1028	454	174	79092	7	2	2,2,2,2,2,2,2	False
kcfs1-ryKWE	2	1980	1	646	1057	380	207	78713	7	1	1,1,1,1,1,1,1	False
OQSNhk5ICTI	2	4815	3	772	1510	262	298	78321	7	3	3,3,3,3,3,3,3	False
0_jNjpVxUt0	4	150	2	920	1030	479	163	78191	7	2	2,2,2,2,2,2,2	False
bwJ-TNu0hGM	2	435	7	937	1054	2093	37	77476	7	7	7,7,7,7,7,7,7	False
kcfs1-ryKWE	2	360	7	382	1440	277	270	74892	7	7	7,7,7,7,7,7,7	False
0_jNjpVxUt0	4	225	2	916	1104	489	153	74855	7	2	2,2,2,2,2,2,2	False
0_jNjpVxUt0	4	15	2	571	1025	477	156	74464	7	2	2,2,2,2,2,2,2	False
kcfs1-ryKWE	2	1065	5	808	1059	486	151	73393	7	5	5,5,5,5,5,5,5	False
bwJ-TNu0hGM	2	3660	3	846	1134	1390	52	72304	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	3	465	7	855	1125	1487	48	71415	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	4	480	7	842	1276	1477	47	69438	7	7	7,7,7,7,7,7,7	False
0_jNjpVxUt0	4	105	2	606	1005	377	180	67968	7	2	2,2,2,2,2,2,2	False
0_jNjpVxUt0	4	0	2	618	1012	424	155	65808	7	2	2,2,2,2,2,2,2	False
0_jNjpVxUt0	3	720	2	620	1000	434	145	63024	7	2	2,2,2,2,2,2,2	False
uKNQCPXDNdc	3	1290	5	922	1000	555	112	62248	7	5	5,5,5,5,5,5,5	False
0_jNjpVxUt0	3	765	2	598	1012	377	162	61093	7	2	2,2,2,2,2,2,2	False
0_jNjpVxUt0	3	465	1	662	1007	426	141	60145	7	1	1,1,1,1,1,1,1	False
0_jNjpVxUt0	4	360	1	632	1022	325	177	57629	7	1	1,1,1,1,1,1,1	False
bwJ-TNu0hGM	3	1875	3	1000	1743	1469	39	57295	7	3	3,3,3,3,3,3,3	False
0_jNjpVxUt0	3	735	2	653	1000	387	146	56521	7	2	2,2,2,2,2,2,2	False
0_jNjpVxUt0	3	750	2	674	1005	328	167	54849	7	2	2,2,2,2,2,2,2	False
bwJ-TNu0hGM	2	105	7	792	1000	898	61	54820	7	7	7,7,7,7,7,7,7	False
0_jNjpVxUt0	4	240	2	878	1175	415	131	54450	7	2	2,2,2,2,2,2,2	False
bwJ-TNu0hGM	4	1875	3	1000	1857	1543	35	54039	7	3	3,3,3,3,3,3,3	False
0_jNjpVxUt0	3	690	2	574	1000	356	146	52035	7	2	2,2,2,2,2,2,2	False
0_jNjpVxUt0	3	645	2	747	1021	365	140	51229	7	2	2,2,2,2,2,2,2	False
0_jNjpVxUt0	3	195	2	826	1156	345	147	50724	7	2	2,2,2,2,2,2,2	False
0_jNjpVxUt0	3	630	2	762	1037	378	133	50281	7	2	2,2,2,2,2,2,2	False
0_jNjpVxUt0	3	585	1	629	1020	330	150	49567	7	1	1,1,1,1,1,1,1	False
0_jNjpVxUt0	3	225	2	892	1045	369	131	48364	7	2	2,2,2,2,2,2,2	False
0_jNjpVxUt0	3	210	2	798	1129	312	154	48183	7	2	2,2,2,2,2,2,2	False
0_jNjpVxUt0	3	180	2	705	1115	290	165	47850	7	2	2,2,2,2,2,2,2	False
0_jNjpVxUt0	3	525	2	675	1006	285	161	46006	7	2	2,2,2,2,2,2,2	False
uKNQCPXDNdc	3	2160	7	910	1000	1067	43	45921	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	2	1875	3	1000	1552	1207	38	45892	7	3	3,3,3,3,3,3,3	False
kcfs1-ryKWE	2	1050	5	732	1015	361	127	45883	7	5	5,5,5,5,5,5,5	False
bwJ-TNu0hGM	4	1860	3	1000	1864	1233	37	45651	7	3	3,3,3,3,3,3,3	False
0_jNjpVxUt0	3	660	2	613	1007	323	136	44023	7	2	2,2,2,2,2,2,2	False
bwJ-TNu0hGM	3	480	7	897	1097	1061	41	43518	7	7	7,7,7,7,7,7,7	False
0_jNjpVxUt0	3	570	1	711	1006	273	159	43481	7	1	1,1,1,1,1,1,1	False
bwJ-TNu0hGM	3	1890	3	1000	1575	1312	33	43298	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	2	1890	3	1000	1500	1193	36	42953	7	3	3,3,3,3,3,3,3	False
Eoo4HzILB-M	4	195	3	743	1435	344	124	42750	7	3	3,3,3,3,3,3,3	False
0_jNjpVxUt0	3	675	2	545	1000	301	141	42558	7	2	2,2,2,2,2,2,2	False
kcfs1-ryKWE	2	1035	5	736	1048	337	124	41846	7	5	5,5,5,5,5,5,5	False
bwJ-TNu0hGM	3	1860	3	1000	1702	1129	37	41801	7	3	3,3,3,3,3,3,3	False
0_jNjpVxUt0	3	240	2	897	1068	347	117	40651	7	2	2,2,2,2,2,2,2	False
uKNQCPXDNdc	4	2190	7	986	1008	347	117	40613	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	4	2205	7	919	1031	1240	32	39694	7	7	7,7,7,7,7,7,7	False
0_jNjpVxUt0	3	510	2	713	1026	258	153	39487	7	2	2,2,2,2,2,2,2	False
bwJ-TNu0hGM	3	1005	7	942	1468	1233	32	39480	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	2	1125	3	779	1138	1083	36	39002	7	3	3,3,3,3,3,3,3	False
0_jNjpVxUt0	3	90	2	686	1008	310	124	38483	7	2	2,2,2,2,2,2,2	False
0_jNjpVxUt0	4	345	1	741	1025	241	156	37627	7	1	1,1,1,1,1,1,1	False
0_jNjpVxUt0	3	165	2	631	1103	273	135	36977	7	2	2,2,2,2,2,2,2	False
Eoo4HzILB-M	3	195	3	846	1519	357	102	36483	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	4	2190	7	915	1000	854	42	35902	7	7	7,7,7,7,7,7,7	False
0_jNjpVxUt0	3	15	2	586	1031	365	96	35122	7	2	2,2,2,2,2,2,2	False
bwJ-TNu0hGM	4	1845	3	994	1793	1198	29	34761	7	3	3,3,3,3,3,3,3	False
0_jNjpVxUt0	3	45	1	676	1009	323	107	34636	7	1	1,1,1,1,1,1,1	False
bwJ-TNu0hGM	4	1890	3	1000	1714	1215	28	34042	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	4	2175	7	896	1062	707	48	33971	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	4	525	7	972	1071	1211	28	33913	7	7	7,7,7,7,7,7,7	False
Eoo4HzILB-M	4	180	3	737	1432	322	104	33556	7	3	3,3,3,3,3,3,3	False
Eoo4HzILB-M	4	210	3	802	1525	272	116	31586	7	3	3,3,3,3,3,3,3	False
0_jNjpVxUt0	3	255	2	779	1290	268	117	31396	7	2	2,2,2,2,2,2,2	False
0_jNjpVxUt0	3	135	1	671	1000	262	119	31215	7	1	1,1,1,1,1,1,1	False
0_jNjpVxUt0	3	120	1	630	1000	255	120	30709	7	1	1,1,1,1,1,1,1	False
bwJ-TNu0hGM	2	465	7	760	1153	1162	26	30220	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	4	2220	7	1000	1033	1004	30	30129	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	2	1005	7	949	1115	1147	26	29833	7	7	7,7,7,7,7,7,7	False
0_jNjpVxUt0	3	0	2	696	1010	290	95	27632	7	2	2,2,2,2,2,2,2	False
bwJ-TNu0hGM	4	2025	3	971	1038	1054	26	27427	7	3	3,3,3,3,3,3,3	False
0_jNjpVxUt0	3	375	1	869	1007	199	136	27130	7	1	1,1,1,1,1,1,1	False
Eoo4HzILB-M	3	210	3	936	1435	268	101	27117	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	4	2010	3	1000	1000	1467	18	26413	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	3	495	7	931	1037	955	27	25800	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	4	2235	7	999	1111	882	27	23838	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	2	1860	3	1000	1343	742	32	23757	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	2	1845	3	1000	1000	1127	21	23667	7	3	3,3,3,3,3,3,3	False
0_jNjpVxUt0	4	330	1	804	1068	154	146	22603	7	1	1,1,1,1,1,1,1	False
Eoo4HzILB-M	4	225	3	856	1369	202	111	22463	7	3	3,3,3,3,3,3,3	False
Eoo4HzILB-M	2	210	3	991	1179	250	89	22267	7	3	3,3,3,3,3,3,3	False
Eoo4HzILB-M	2	195	3	970	1378	298	74	22057	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	4	1995	3	976	1000	1186	18	21352	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	3	2175	7	975	1000	949	22	20884	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	3	2595	3	938	1312	1295	16	20726	7	3	3,3,3,3,3,3,3	False
Eoo4HzILB-M	3	180	3	890	1422	288	71	20455	7	3	3,3,3,3,3,3,3	False
Eoo4HzILB-M	3	420	3	686	1250	361	56	20251	7	3	3,3,3,3,3,3,3	False
Eoo4HzILB-M	4	435	3	531	1307	306	65	19918	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	3	1995	3	994	1000	1165	17	19805	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	4	3360	7	1000	1000	1155	17	19647	7	7	7,7,7,7,7,7,7	False
Eoo4HzILB-M	4	300	3	653	1238	175	105	18451	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	3	2610	3	1000	1333	1525	12	18301	7	3	3,3,3,3,3,3,3	False
Eoo4HzILB-M	4	360	3	811	1126	187	95	17810	7	3	3,3,3,3,3,3,3	False
uKNQCPXDNdc	4	2355	7	926	1250	401	44	17673	7	7	7,7,7,7,7,7,7	False
Eoo4HzILB-M	4	315	3	794	1280	164	107	17589	7	3	3,3,3,3,3,3,3	False
Eoo4HzILB-M	3	435	3	607	1214	313	56	17547	7	3	3,3,3,3,3,3,3	False
Eoo4HzILB-M	3	225	3	982	1282	186	92	17172	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	2	120	7	914	1000	631	27	17055	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	4	1980	3	901	1250	851	20	17027	7	3	3,3,3,3,3,3,3	False
Eoo4HzILB-M	4	345	3	804	1131	187	91	17020	7	3	3,3,3,3,3,3,3	False
0_jNjpVxUt0	3	360	1	943	1015	131	128	16822	7	1	1,1,1,1,1,1,1	False
bwJ-TNu0hGM	2	1905	3	1000	1476	784	21	16477	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	4	2325	7	1000	1000	1018	16	16292	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	3	2010	3	1000	1000	1008	16	16133	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	4	2310	7	1000	1000	1306	12	15675	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	2	2580	3	1000	1076	1191	13	15490	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	2	2595	3	989	1076	1182	13	15368	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	2	2610	3	1000	1076	1137	13	14786	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	4	2370	7	1000	1000	909	16	14555	7	7	7,7,7,7,7,7,7	False
0_jNjpVxUt0	4	315	1	737	1077	100	142	14330	7	1	1,1,1,1,1,1,1	False
Eoo4HzILB-M	4	285	3	790	1233	156	90	14056	7	3	3,3,3,3,3,3,3	False
uKNQCPXDNdc	4	2325	7	986	1093	323	43	13906	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	4	3375	7	1000	1000	993	14	13905	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	3	1980	3	956	1000	865	16	13847	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	4	1905	3	1000	1555	763	18	13747	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	4	3960	7	1000	1000	838	16	13409	7	7	7,7,7,7,7,7,7	False
0_jNjpVxUt0	2	465	1	898	1012	171	78	13339	7	1	1,1,1,1,1,1,1	False
bwJ-TNu0hGM	2	480	7	829	1130	579	23	13322	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	4	3345	7	996	1000	598	22	13156	7	7	7,7,7,7,7,7,7	False
Eoo4HzILB-M	4	330	3	945	1152	142	92	13072	7	3	3,3,3,3,3,3,3	False
0_jNjpVxUt0	2	480	1	850	1000	170	75	12806	7	1	1,1,1,1,1,1,1	False
bwJ-TNu0hGM	4	2355	7	1000	1000	791	16	12657	7	7	7,7,7,7,7,7,7	False
Eoo4HzILB-M	2	435	3	653	1209	293	43	12603	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	4	3285	7	999	1000	776	16	12429	7	7	7,7,7,7,7,7,7	False
Eoo4HzILB-M	3	360	3	834	1055	168	72	12142	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	4	2340	7	1000	1000	754	16	12075	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	4	3585	3	880	1055	662	18	11924	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	4	2295	7	999	1000	848	14	11873	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	2	2370	7	993	1090	536	22	11805	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	4	3270	7	1000	1000	726	16	11631	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	2	2385	7	758	1100	386	30	11592	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	3	2025	3	1000	1000	626	18	11271	7	3	3,3,3,3,3,3,3	False
Eoo4HzILB-M	2	225	3	996	1129	145	77	11232	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	4	3945	7	1000	1058	654	17	11120	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	2	2625	3	1000	1000	1101	10	11017	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	3	2445	7	1000	1000	997	11	10975	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	4	4065	7	1000	1000	782	14	10958	7	7	7,7,7,7,7,7,7	False
Eoo4HzILB-M	4	405	3	868	1250	179	60	10760	7	3	3,3,3,3,3,3,3	False
Eoo4HzILB-M	4	375	3	981	1075	131	80	10544	7	3	3,3,3,3,3,3,3	False
Eoo4HzILB-M	3	240	3	974	1116	136	77	10487	7	3	3,3,3,3,3,3,3	False
Eoo4HzILB-M	3	315	3	883	1132	126	83	10482	7	3	3,3,3,3,3,3,3	False
Eoo4HzILB-M	2	180	3	1000	1363	314	33	10362	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	3	2220	7	1000	1058	600	17	10208	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	4	2280	7	997	1000	680	15	10200	7	7	7,7,7,7,7,7,7	False
uKNQCPXDNdc	4	2310	7	1000	1025	261	39	10189	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	4	3810	7	1000	1285	727	14	10181	7	7	7,7,7,7,7,7,7	False
Eoo4HzILB-M	3	345	3	832	1049	166	61	10141	7	3	3,3,3,3,3,3,3	False
uKNQCPXDNdc	2	1935	5	1000	1857	1445	7	10115	7	5	5,5,5,5,5,5,5	False
bwJ-TNu0hGM	4	2445	7	1000	1300	992	10	9923	7	7	7,7,7,7,7,7,7	False
0_jNjpVxUt0	4	300	1	796	1080	72	137	9866	7	1	1,1,1,1,1,1,1	False
bwJ-TNu0hGM	4	3300	7	1000	1000	681	14	9535	7	7	7,7,7,7,7,7,7	False
Eoo4HzILB-M	4	90	3	940	1538	244	39	9519	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	4	1320	3	1000	1000	584	16	9353	7	3	3,3,3,3,3,3,3	False
bwJ-TNu0hGM	3	3945	7	1000	1000	518	18	9338	7	7	7,7,7,7,7,7,7	False
bwJ-TNu0hGM	4	3570	3	960	1000	841	11	9251	7	3	3,3,3,3,3,3,3	False
uKNQCPXDNdc	3	2325	7	1000	1129	297	31	9232	7	7	7,7,7,7,7,7,7	False
