child-fsd50k-18274	OK	byte_ident=True	sem_rms=226.38	sem_corr=0.9985	sem_maxd=1881	nres_rms=3.07	nimp=51	use_h=0	r2acc=0.000	fsize=2511148	hf12x=1.009	hf16x=1.030
field-tau-metro_station-lisbon-1221-44774-2-s6	OK	byte_ident=True	sem_rms=226.72	sem_corr=0.9990	sem_maxd=2525	nres_rms=30.98	nimp=88	use_h=0	r2acc=0.000	fsize=2805956	hf12x=0.998	hf16x=0.995
field-tau-metro_station-lisbon-1221-44774-3-s6	OK	byte_ident=True	sem_rms=236.79	sem_corr=0.9990	sem_maxd=2614	nres_rms=38.55	nimp=88	use_h=0	r2acc=0.000	fsize=2805956	hf12x=0.999	hf16x=0.997
field-tau-metro_station-lisbon-1221-44774-4-s6	OK	byte_ident=True	sem_rms=239.40	sem_corr=0.9989	sem_maxd=1836	nres_rms=40.36	nimp=88	use_h=0	r2acc=0.000	fsize=2805956	hf12x=1.002	hf16x=1.003
field-tau-metro_station-lisbon-1221-44774-5-s6	OK	byte_ident=True	sem_rms=230.74	sem_corr=0.9990	sem_maxd=1837	nres_rms=31.82	nimp=88	use_h=0	r2acc=0.000	fsize=2805956	hf12x=0.992	hf16x=0.989
field-usn-A-AS-roos-001_200120_135526_35	OK	byte_ident=True	sem_rms=42.57	sem_corr=0.9979	sem_maxd=611	nres_rms=2.60	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.985	hf16x=0.992
field-usn-A-AS-roos_002_200120_140013_80	OK	byte_ident=True	sem_rms=168.73	sem_corr=0.9985	sem_maxd=2069	nres_rms=6.03	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.999	hf16x=1.000
field-usn-A-AS-roos_002_200120_140030_83	OK	byte_ident=True	sem_rms=48.15	sem_corr=0.9995	sem_maxd=256	nres_rms=1.06	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.999	hf16x=1.005
field-usn-A-Roos01_151936_95	OK	byte_ident=True	sem_rms=83.15	sem_corr=0.9987	sem_maxd=624	nres_rms=1.21	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.000	hf16x=1.009
field-usn-B-AS-roos-001.200120.133315.48	OK	byte_ident=True	sem_rms=95.83	sem_corr=0.9988	sem_maxd=790	nres_rms=7.01	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.995	hf16x=0.996
field-usn-B-AS-roos-001.200120.133928.26	OK	byte_ident=True	sem_rms=45.94	sem_corr=0.9989	sem_maxd=438	nres_rms=2.44	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.999	hf16x=1.001
field-usn-B-AS-roos-001.200120.134851.39	OK	byte_ident=True	sem_rms=64.99	sem_corr=0.9975	sem_maxd=992	nres_rms=4.09	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.977	hf16x=0.984
field-usn-B-AS-roos-001.200120.134245.35	OK	byte_ident=True	sem_rms=39.43	sem_corr=0.9992	sem_maxd=288	nres_rms=2.01	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.999	hf16x=1.001
field-usn-C-AS-roos.002.200120.144328.04	OK	byte_ident=True	sem_rms=67.68	sem_corr=0.9982	sem_maxd=871	nres_rms=3.85	nimp=440	use_h=0	r2acc=0.064	fsize=5656244	hf12x=0.997	hf16x=0.995
field-usn-C-AS-roos-001.200120.141819.06	OK	byte_ident=True	sem_rms=53.79	sem_corr=0.9976	sem_maxd=863	nres_rms=3.64	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.003	hf16x=0.997
field-usn-C-AS-roos.002.200120.165433.55	OK	byte_ident=True	sem_rms=70.58	sem_corr=0.9990	sem_maxd=535	nres_rms=2.05	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.991	hf16x=0.999
field-usn-C-Roos06.151003.02	OK	byte_ident=True	sem_rms=71.17	sem_corr=0.9982	sem_maxd=621	nres_rms=12.86	nimp=440	use_h=1	r2acc=0.000	fsize=5654684	hf12x=0.995	hf16x=0.995
field-usn-K.RGracht-0004.152916	OK	byte_ident=True	sem_rms=9.58	sem_corr=0.9995	sem_maxd=51	nres_rms=0.32	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.008	hf16x=1.029
field-usn-K.RGracht-0004.152351	OK	byte_ident=True	sem_rms=10.78	sem_corr=0.9994	sem_maxd=57	nres_rms=0.21	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.018	hf16x=1.038
field-usn-K.RGracht-0004.153038	OK	byte_ident=True	sem_rms=16.15	sem_corr=0.9994	sem_maxd=94	nres_rms=0.26	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.011	hf16x=1.035
field-usn-O-AS-roos-001.200120.140428.20	OK	byte_ident=True	sem_rms=54.78	sem_corr=0.9984	sem_maxd=566	nres_rms=7.94	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.995	hf16x=0.996
field-usn-O-AS-roos-001.200120.141844.06	OK	byte_ident=True	sem_rms=184.67	sem_corr=0.9985	sem_maxd=1483	nres_rms=10.51	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.992	hf16x=0.992
field-usn-O-AS-roos-001.200120.142224.72	OK	byte_ident=True	sem_rms=86.31	sem_corr=0.9984	sem_maxd=798	nres_rms=6.98	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.994	hf16x=0.995
field-usn-T-AS-roos-001.200120.135555.37	OK	byte_ident=True	sem_rms=29.44	sem_corr=0.9990	sem_maxd=229	nres_rms=1.00	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.001	hf16x=1.004
field-usn-T-AS-roos-001.200120.140358.60	OK	byte_ident=True	sem_rms=29.69	sem_corr=0.9988	sem_maxd=360	nres_rms=1.20	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.999	hf16x=1.001
field-usn-T-AS-roos-001.200120.140547.52	OK	byte_ident=True	sem_rms=26.10	sem_corr=0.9991	sem_maxd=206	nres_rms=1.03	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.002	hf16x=1.007
field-usn-shot556_141_ch01_180718_163938_63_	OK	byte_ident=True	sem_rms=183.11	sem_corr=0.9970	sem_maxd=3978	nres_rms=19.71	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.990	hf16x=1.018
field-usn-shot556_142_ch01_180718_163951_79_	OK	byte_ident=True	sem_rms=188.51	sem_corr=0.9967	sem_maxd=4401	nres_rms=26.81	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.003	hf16x=1.022
field-usn-shot556_143_ch01_180718_164003_45_	OK	byte_ident=True	sem_rms=172.42	sem_corr=0.9973	sem_maxd=3922	nres_rms=21.61	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.019	hf16x=1.003
field-usn-shot556_150_ch01_180718_164053_99_	OK	byte_ident=True	sem_rms=192.46	sem_corr=0.9974	sem_maxd=4386	nres_rms=21.38	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.003	hf16x=1.024
lowf0-ptdb-000-M09_sa1	OK	byte_ident=True	sem_rms=106.01	sem_corr=0.9963	sem_maxd=1200	nres_rms=5.14	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.986	hf16x=0.994
lowf0-ptdb-001-M03_sa2	OK	byte_ident=True	sem_rms=106.16	sem_corr=0.9960	sem_maxd=1766	nres_rms=5.89	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.986	hf16x=0.986
lowf0-ptdb-002-M03_sa1	OK	byte_ident=True	sem_rms=94.61	sem_corr=0.9957	sem_maxd=1164	nres_rms=10.29	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.988	hf16x=0.997
lowf0-ptdb-003-M09_sa2	OK	byte_ident=True	sem_rms=122.19	sem_corr=0.9958	sem_maxd=2361	nres_rms=5.88	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.985	hf16x=0.986
lowf0-ptdb-004-M06_sa2	OK	byte_ident=True	sem_rms=142.16	sem_corr=0.9961	sem_maxd=2097	nres_rms=15.38	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.983	hf16x=0.987
lowf0-ptdb-005-M01_sa2	OK	byte_ident=True	sem_rms=166.42	sem_corr=0.9952	sem_maxd=2418	nres_rms=8.34	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.999	hf16x=0.993
lowf0-ptdb-006-M01_sa1	OK	byte_ident=True	sem_rms=137.10	sem_corr=0.9963	sem_maxd=1580	nres_rms=13.99	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.983	hf16x=0.983
lowf0-ptdb-007-M06_sa1	OK	byte_ident=True	sem_rms=134.47	sem_corr=0.9965	sem_maxd=1432	nres_rms=15.52	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.987	hf16x=0.985
lowf0-ptdb-008-M02_si642	OK	byte_ident=True	sem_rms=82.21	sem_corr=0.9955	sem_maxd=1302	nres_rms=8.60	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.989	hf16x=1.006
lowf0-ptdb-009-M01_si455	OK	byte_ident=True	sem_rms=52.97	sem_corr=0.9956	sem_maxd=608	nres_rms=5.94	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.993	hf16x=0.992
lowf0-ptdb-010-M01_si456	OK	byte_ident=True	sem_rms=43.32	sem_corr=0.9956	sem_maxd=561	nres_rms=4.31	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.977	hf16x=0.976
lowf0-ptdb-011-M01_si454	OK	byte_ident=True	sem_rms=54.00	sem_corr=0.9967	sem_maxd=577	nres_rms=6.28	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.990	hf16x=0.994
lowf0-ptdb-012-M05_sa1	OK	byte_ident=True	sem_rms=89.80	sem_corr=0.9954	sem_maxd=1457	nres_rms=4.36	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.986	hf16x=0.990
lowf0-ptdb-013-M02_si643	OK	byte_ident=True	sem_rms=56.98	sem_corr=0.9960	sem_maxd=658	nres_rms=5.96	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.998	hf16x=1.000
lowf0-ptdb-014-M02_si644	OK	byte_ident=True	sem_rms=54.05	sem_corr=0.9952	sem_maxd=988	nres_rms=3.90	nimp=493	use_h=0	r2acc=0.000	fsize=6061876	hf12x=0.995	hf16x=0.985
lowf0-ptdb-015-M01_si458	OK	byte_ident=True	sem_rms=81.53	sem_corr=0.9961	sem_maxd=992	nres_rms=7.18	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.981	hf16x=0.988
lowf0-ptdb-016-M01_si459	OK	byte_ident=True	sem_rms=71.55	sem_corr=0.9963	sem_maxd=851	nres_rms=8.57	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.990	hf16x=0.995
lowf0-ptdb-017-M01_si457	OK	byte_ident=True	sem_rms=40.56	sem_corr=0.9959	sem_maxd=494	nres_rms=4.66	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.988	hf16x=0.988
lowf0-ptdb-018-M02_sa1	OK	byte_ident=True	sem_rms=70.04	sem_corr=0.9960	sem_maxd=885	nres_rms=8.36	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.985	hf16x=0.989
lowf0-ptdb-019-M05_sa2	OK	byte_ident=True	sem_rms=99.48	sem_corr=0.9949	sem_maxd=2503	nres_rms=5.08	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.984	hf16x=0.992
lowf0-ptdb-020-M08_sa2	OK	byte_ident=True	sem_rms=92.92	sem_corr=0.9955	sem_maxd=1349	nres_rms=5.14	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.992	hf16x=0.976
lowf0-ptdb-021-M02_sa2	OK	byte_ident=True	sem_rms=75.00	sem_corr=0.9957	sem_maxd=1056	nres_rms=6.66	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.985	hf16x=0.985
lowf0-ptdb-022-M07_sa1	OK	byte_ident=True	sem_rms=126.43	sem_corr=0.9961	sem_maxd=1735	nres_rms=6.23	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.978	hf16x=0.987
lowf0-ptdb-023-M01_si453	OK	byte_ident=True	sem_rms=63.35	sem_corr=0.9959	sem_maxd=808	nres_rms=7.87	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.990	hf16x=0.983
lowf0-ptdb-024-M01_si460	OK	byte_ident=True	sem_rms=76.64	sem_corr=0.9961	sem_maxd=1182	nres_rms=6.76	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.984	hf16x=0.989
lowf0-ptdb-025-M08_sa1	OK	byte_ident=True	sem_rms=92.58	sem_corr=0.9957	sem_maxd=1353	nres_rms=6.89	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.990	hf16x=1.002
lowf0-ptdb-026-M07_sa2	OK	byte_ident=True	sem_rms=59.93	sem_corr=0.9953	sem_maxd=908	nres_rms=2.52	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.981	hf16x=0.984
lowf0-ptdb-027-M10_sa1	OK	byte_ident=True	sem_rms=145.66	sem_corr=0.9961	sem_maxd=1880	nres_rms=8.14	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.985	hf16x=0.984
lowf0-ptdb-028-M10_sa2	OK	byte_ident=True	sem_rms=136.25	sem_corr=0.9954	sem_maxd=2464	nres_rms=6.06	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.970	hf16x=0.986
lowf0-ptdb-029-M04_sa1	OK	byte_ident=True	sem_rms=99.69	sem_corr=0.9964	sem_maxd=1404	nres_rms=4.84	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.986	hf16x=0.994
lowf0-ptdb-030-M04_sa2	OK	byte_ident=True	sem_rms=103.48	sem_corr=0.9954	sem_maxd=1649	nres_rms=4.07	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.991	hf16x=0.987
prosody-cremad-1001-ANG	OK	byte_ident=True	sem_rms=106.87	sem_corr=0.9987	sem_maxd=972	nres_rms=0.34	nimp=200	use_h=0	r2acc=0.000	fsize=3708820	hf12x=2.021	hf16x=1.997
prosody-cremad-1002-DIS	OK	byte_ident=True	sem_rms=24.55	sem_corr=0.9989	sem_maxd=274	nres_rms=0.25	nimp=223	use_h=0	r2acc=0.000	fsize=3893076	hf12x=1.974	hf16x=1.992
prosody-cremad-1004-HAP	OK	byte_ident=True	sem_rms=45.62	sem_corr=0.9987	sem_maxd=535	nres_rms=0.28	nimp=241	use_h=0	r2acc=0.000	fsize=4034772	hf12x=1.991	hf16x=2.007
prosody-cremad-1003-FEA	OK	byte_ident=True	sem_rms=24.17	sem_corr=0.9987	sem_maxd=293	nres_rms=0.20	nimp=270	use_h=0	r2acc=0.000	fsize=4270940	hf12x=1.985	hf16x=1.989
prosody-cremad-1005-NEU	OK	byte_ident=True	sem_rms=38.95	sem_corr=0.9988	sem_maxd=391	nres_rms=0.20	nimp=273	use_h=0	r2acc=0.000	fsize=4294572	hf12x=2.047	hf16x=2.019
prosody-cremad-1006-SAD	OK	byte_ident=True	sem_rms=19.09	sem_corr=0.9989	sem_maxd=179	nres_rms=0.19	nimp=235	use_h=0	r2acc=0.000	fsize=3987516	hf12x=2.024	hf16x=2.007
prosody-cremad-1007-ANG	OK	byte_ident=True	sem_rms=423.40	sem_corr=0.9969	sem_maxd=5562	nres_rms=6.43	nimp=220	use_h=0	r2acc=0.000	fsize=3869452	hf12x=4.515	hf16x=4.809
prosody-cremad-1008-DIS	OK	byte_ident=True	sem_rms=60.49	sem_corr=0.9988	sem_maxd=552	nres_rms=0.26	nimp=320	use_h=0	r2acc=0.000	fsize=4672404	hf12x=2.028	hf16x=2.017
prosody-cremad-1009-FEA	OK	byte_ident=True	sem_rms=109.03	sem_corr=0.9990	sem_maxd=889	nres_rms=0.37	nimp=223	use_h=0	r2acc=0.000	fsize=3893076	hf12x=2.006	hf16x=2.043
prosody-cremad-1010-HAP	OK	byte_ident=True	sem_rms=40.80	sem_corr=0.9988	sem_maxd=520	nres_rms=0.38	nimp=167	use_h=0	r2acc=0.000	fsize=3444316	hf12x=2.006	hf16x=2.001
prosody-cremad-1011-NEU	OK	byte_ident=True	sem_rms=20.79	sem_corr=0.9991	sem_maxd=194	nres_rms=0.15	nimp=217	use_h=0	r2acc=0.000	fsize=3845820	hf12x=2.001	hf16x=2.062
prosody-cremad-1012-SAD	OK	byte_ident=True	sem_rms=23.65	sem_corr=0.9986	sem_maxd=289	nres_rms=0.23	nimp=199	use_h=1	r2acc=0.000	fsize=3709412	hf12x=2.026	hf16x=2.012
prosody-cremad-1013-ANG	OK	byte_ident=True	sem_rms=424.70	sem_corr=0.9965	sem_maxd=6899	nres_rms=11.40	nimp=241	use_h=0	r2acc=0.000	fsize=4034772	hf12x=1.513	hf16x=1.390
prosody-cremad-1014-DIS	OK	byte_ident=True	sem_rms=16.45	sem_corr=0.9987	sem_maxd=189	nres_rms=0.18	nimp=182	use_h=0	r2acc=0.000	fsize=3562428	hf12x=2.046	hf16x=2.022
prosody-cremad-1015-FEA	OK	byte_ident=True	sem_rms=45.06	sem_corr=0.9990	sem_maxd=380	nres_rms=0.29	nimp=179	use_h=0	r2acc=0.000	fsize=3538820	hf12x=1.987	hf16x=2.019
prosody-cremad-1016-HAP	OK	byte_ident=True	sem_rms=123.99	sem_corr=0.9986	sem_maxd=1241	nres_rms=0.36	nimp=167	use_h=0	r2acc=0.000	fsize=3444316	hf12x=2.014	hf16x=2.009
prosody-cremad-1017-NEU	OK	byte_ident=True	sem_rms=35.71	sem_corr=0.9991	sem_maxd=288	nres_rms=0.14	nimp=152	use_h=0	r2acc=0.000	fsize=3326244	hf12x=2.038	hf16x=2.035
prosody-cremad-1018-SAD	OK	byte_ident=True	sem_rms=13.80	sem_corr=0.9992	sem_maxd=98	nres_rms=0.11	nimp=144	use_h=0	r2acc=0.000	fsize=3255380	hf12x=1.987	hf16x=2.000
prosody-cremad-1019-ANG	OK	byte_ident=True	sem_rms=115.87	sem_corr=0.9988	sem_maxd=1437	nres_rms=0.78	nimp=147	use_h=1	r2acc=0.315	fsize=3283460	hf12x=2.006	hf16x=2.077
prosody-cremad-1020-DIS	OK	byte_ident=True	sem_rms=14.15	sem_corr=0.9989	sem_maxd=167	nres_rms=0.17	nimp=308	use_h=0	r2acc=0.000	fsize=4577964	hf12x=2.008	hf16x=2.032
prosody-cremad-1021-FEA	OK	byte_ident=True	sem_rms=9.26	sem_corr=0.9992	sem_maxd=73	nres_rms=0.09	nimp=255	use_h=0	r2acc=0.000	fsize=4152828	hf12x=2.015	hf16x=1.996
prosody-cremad-1022-HAP	OK	byte_ident=True	sem_rms=46.03	sem_corr=0.9989	sem_maxd=450	nres_rms=0.22	nimp=217	use_h=0	r2acc=0.000	fsize=3845820	hf12x=2.006	hf16x=2.026
prosody-cremad-1023-NEU	OK	byte_ident=True	sem_rms=48.07	sem_corr=0.9989	sem_maxd=390	nres_rms=0.19	nimp=185	use_h=0	r2acc=0.000	fsize=3586060	hf12x=2.011	hf16x=2.025
prosody-cremad-1024-SAD	OK	byte_ident=True	sem_rms=14.82	sem_corr=0.9987	sem_maxd=130	nres_rms=0.16	nimp=152	use_h=0	r2acc=0.000	fsize=3326244	hf12x=1.976	hf16x=2.013
prosody-cremad-1025-ANG	OK	byte_ident=True	sem_rms=61.37	sem_corr=0.9986	sem_maxd=671	nres_rms=0.27	nimp=191	use_h=0	r2acc=0.000	fsize=3633260	hf12x=2.010	hf16x=2.018
prosody-emov-Amused-002	OK	byte_ident=True	sem_rms=177.91	sem_corr=0.9969	sem_maxd=3035	nres_rms=13.35	nimp=353	use_h=0	r2acc=0.000	fsize=4937988	hf12x=0.997	hf16x=0.993
prosody-emov-Amused-001	OK	byte_ident=True	sem_rms=181.19	sem_corr=0.9981	sem_maxd=2301	nres_rms=1.44	nimp=276	use_h=0	r2acc=0.000	fsize=4314524	hf12x=1.003	hf16x=1.011
prosody-emov-Amused-009	OK	byte_ident=True	sem_rms=402.11	sem_corr=0.9946	sem_maxd=4758	nres_rms=1.54	nimp=441	use_h=0	r2acc=0.045	fsize=5654332	hf12x=1.195	hf16x=1.009
prosody-emov-Amused-010	OK	byte_ident=True	sem_rms=279.58	sem_corr=0.9968	sem_maxd=3910	nres_rms=1.88	nimp=297	use_h=1	r2acc=0.000	fsize=4496356	hf12x=1.995	hf16x=1.911
prosody-emov-Angry-004	OK	byte_ident=True	sem_rms=239.00	sem_corr=0.9977	sem_maxd=3229	nres_rms=0.98	nimp=379	use_h=0	r2acc=0.000	fsize=5144124	hf12x=6.648	hf16x=1.954
prosody-emov-Amused-021	OK	byte_ident=True	sem_rms=135.09	sem_corr=0.9986	sem_maxd=1684	nres_rms=0.59	nimp=456	use_h=0	r2acc=0.000	fsize=5759604	hf12x=1.511	hf16x=1.588
prosody-emov-Angry-005	OK	byte_ident=True	sem_rms=214.58	sem_corr=0.9973	sem_maxd=2199	nres_rms=21.51	nimp=280	use_h=0	r2acc=0.000	fsize=4352716	hf12x=0.986	hf16x=0.991
prosody-emov-Angry-006	OK	byte_ident=True	sem_rms=174.34	sem_corr=0.9970	sem_maxd=3745	nres_rms=2.80	nimp=352	use_h=1	r2acc=0.000	fsize=4942164	hf12x=1.096	hf16x=1.045
prosody-emov-Angry-014	OK	byte_ident=True	sem_rms=264.47	sem_corr=0.9980	sem_maxd=4126	nres_rms=1.75	nimp=306	use_h=0	r2acc=0.000	fsize=4555412	hf12x=1.470	hf16x=2.665
prosody-emov-Angry-015	OK	byte_ident=True	sem_rms=121.11	sem_corr=0.9987	sem_maxd=1264	nres_rms=0.44	nimp=344	use_h=0	r2acc=0.000	fsize=4864364	hf12x=1.674	hf16x=1.750
prosody-emov-Disgusted-003	OK	byte_ident=True	sem_rms=84.44	sem_corr=0.9988	sem_maxd=1362	nres_rms=0.98	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.556	hf16x=1.596
prosody-emov-Disgusted-004	OK	byte_ident=True	sem_rms=280.79	sem_corr=0.9967	sem_maxd=3519	nres_rms=54.40	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.991	hf16x=0.999
prosody-emov-Disgusted-006	OK	byte_ident=True	sem_rms=271.77	sem_corr=0.9962	sem_maxd=3959	nres_rms=23.56	nimp=488	use_h=0	r2acc=0.000	fsize=6016548	hf12x=0.983	hf16x=0.994
prosody-emov-Disgusted-013	OK	byte_ident=True	sem_rms=253.59	sem_corr=0.9966	sem_maxd=3503	nres_rms=37.52	nimp=332	use_h=0	r2acc=0.000	fsize=4764588	hf12x=0.991	hf16x=0.997
prosody-emov-Disgusted-018	OK	byte_ident=True	sem_rms=138.96	sem_corr=0.9985	sem_maxd=1791	nres_rms=0.52	nimp=376	use_h=0	r2acc=0.000	fsize=5123460	hf12x=2.236	hf16x=2.367
prosody-emov-Neutral-007	OK	byte_ident=True	sem_rms=379.60	sem_corr=0.9964	sem_maxd=8364	nres_rms=1.95	nimp=175	use_h=1	r2acc=0.129	fsize=3513516	hf12x=1.903	hf16x=1.331
prosody-emov-Neutral-008	OK	byte_ident=True	sem_rms=309.02	sem_corr=0.9978	sem_maxd=4216	nres_rms=1.31	nimp=339	use_h=0	r2acc=0.000	fsize=4825284	hf12x=1.509	hf16x=2.679
prosody-emov-Neutral-012	OK	byte_ident=True	sem_rms=283.63	sem_corr=0.9980	sem_maxd=3833	nres_rms=1.37	nimp=312	use_h=0	r2acc=0.000	fsize=4603092	hf12x=1.001	hf16x=1.020
prosody-emov-Neutral-017	OK	byte_ident=True	sem_rms=259.48	sem_corr=0.9975	sem_maxd=4214	nres_rms=0.95	nimp=261	use_h=0	r2acc=0.000	fsize=4199852	hf12x=1.262	hf16x=1.347
prosody-emov-Neutral-016	OK	byte_ident=True	sem_rms=291.68	sem_corr=0.9975	sem_maxd=3850	nres_rms=0.86	nimp=311	use_h=0	r2acc=0.000	fsize=4600388	hf12x=2.578	hf16x=2.876
prosody-emov-Sleepy-003	OK	byte_ident=True	sem_rms=190.86	sem_corr=0.9980	sem_maxd=2701	nres_rms=1.39	nimp=527	use_h=0	r2acc=0.000	fsize=6336332	hf12x=3.154	hf16x=5.738
prosody-emov-Sleepy-000	OK	byte_ident=True	sem_rms=287.56	sem_corr=0.9976	sem_maxd=3702	nres_rms=0.92	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=1.327	hf16x=1.387
prosody-emov-Sleepy-019	OK	byte_ident=True	sem_rms=401.76	sem_corr=0.9965	sem_maxd=6012	nres_rms=5.59	nimp=393	use_h=0	r2acc=0.000	fsize=5258620	hf12x=1.189	hf16x=0.978
prosody-emov-Sleepy-011	OK	byte_ident=True	sem_rms=351.00	sem_corr=0.9976	sem_maxd=4346	nres_rms=53.68	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=0.994	hf16x=0.996
prosody-emov-Sleepy-020	OK	byte_ident=True	sem_rms=231.89	sem_corr=0.9983	sem_maxd=2458	nres_rms=0.65	nimp=414	use_h=0	r2acc=0.000	fsize=5428876	hf12x=1.275	hf16x=1.458
prosody-mir1k-ABJones_1_lyrics	OK	byte_ident=True	sem_rms=36.04	sem_corr=0.9987	sem_maxd=596	nres_rms=0.31	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=2.053	hf16x=2.064
prosody-mir1k-Ani_5_03_m	OK	byte_ident=True	sem_rms=132.54	sem_corr=0.9988	sem_maxd=1898	nres_rms=1.10	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=2.095	hf16x=2.075
prosody-mir1k-Ani_5_08	OK	byte_ident=True	sem_rms=97.73	sem_corr=0.9995	sem_maxd=1083	nres_rms=1.69	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=2.617	hf16x=2.462
prosody-mir1k-abjones_3_09_v	OK	byte_ident=True	sem_rms=183.61	sem_corr=0.9991	sem_maxd=2377	nres_rms=1.23	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=2.338	hf16x=2.204
prosody-mir1k-amy_12	OK	byte_ident=True	sem_rms=92.25	sem_corr=0.9995	sem_maxd=1026	nres_rms=1.08	nimp=440	use_h=1	r2acc=0.309	fsize=5651260	hf12x=2.054	hf16x=2.003
prosody-mir1k-amy_14_05	OK	byte_ident=True	sem_rms=97.15	sem_corr=0.9993	sem_maxd=1072	nres_rms=0.89	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=2.009	hf16x=2.036
prosody-mir1k-amy_16_06_m	OK	byte_ident=True	sem_rms=122.79	sem_corr=0.9991	sem_maxd=1491	nres_rms=0.69	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=2.013	hf16x=2.005
prosody-mir1k-amy_1_07_m	OK	byte_ident=True	sem_rms=121.68	sem_corr=0.9993	sem_maxd=1199	nres_rms=0.26	nimp=440	use_h=0	r2acc=0.000	fsize=5637188	hf12x=2.010	hf16x=1.982
prosody-mir1k-annar_3_02_m	OK	byte_ident=True	sem_rms=150.90	sem_corr=0.9986	sem_maxd=2151	nres_rms=0.74	nimp=524	use_h=0	r2acc=0.000	fsize=6311076	hf12x=2.010	hf16x=1.985
