# hash-chained ledger
# genesis_sha256=612075f5d9ad36d47d8084bdfd33a8cbe91e484c2bb07f55d163f66652303296
0|prev=612075f5d9ad36d47d8084bdfd33a8cbe91e484c2bb07f55d163f66652303296|event=RUN_START|data=corpus=rconf records=370|hash=538d23e29478acc1c79880a9db41a689c30f8e07d1dcead0d3556d8cc48ca0ac
79|prev=764f8a57d7914df81efee6ec942cd0bbb601c410f7e64f382435d21bc954572a|event=HIT|data=seq=91 class=C2-selfcorroborate d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The ferry Murre began the dawn crossing in 1909.|hash=df75e5e095dfc6030de4aa955f33ce0a07c52ef39557729657dc4a20f4531521
80|prev=df75e5e095dfc6030de4aa955f33ce0a07c52ef39557729657dc4a20f4531521|event=HIT|data=seq=92 class=C2-selfcorroborate d1=2(CORROBORATED) d2=2(CORROBORATED) draft=The ferry Murre began the dawn crossing in 1909.|hash=ea2aed63c838fb7f8c2b6843c0dfa5bf2fe42c0ed194cdc3db2c5ea29c28a609
81|prev=ea2aed63c838fb7f8c2b6843c0dfa5bf2fe42c0ed194cdc3db2c5ea29c28a609|event=HIT|data=seq=93 class=C2-selfcorroborate d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Harbor-master Sloane issued the mooring edict in 1877.|hash=5349627b88a9611a9ed1df99fefca8231851a6ccaccdb5b4a18880305db882f9
82|prev=5349627b88a9611a9ed1df99fefca8231851a6ccaccdb5b4a18880305db882f9|event=HIT|data=seq=94 class=C2-selfcorroborate d1=2(CORROBORATED) d2=2(CORROBORATED) draft=Harbor-master Sloane issued the mooring edict in 1877.|hash=7d82318d38432be3ae5e7d31d88eeb40d1ffbe27d6bba8185012a0bc9e06773d
83|prev=7d82318d38432be3ae5e7d31d88eeb40d1ffbe27d6bba8185012a0bc9e06773d|event=HIT|data=seq=95 class=C2-selfcorroborate d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Harbor-master Sloane issued the mooring edict in 1881.|hash=7db8d12c9eebf363f53cd6b136fe421bab3dd7800a3bc3d16ce0be63f9339400
84|prev=7db8d12c9eebf363f53cd6b136fe421bab3dd7800a3bc3d16ce0be63f9339400|event=HIT|data=seq=96 class=C2-selfcorroborate d1=2(CORROBORATED) d2=2(CORROBORATED) draft=Harbor-master Sloane issued the mooring edict in 1881.|hash=c348255ed7cc082da8e3a9b80b2a190c6cc212e5c6e3b3ba3a7ba68284d00159
85|prev=c348255ed7cc082da8e3a9b80b2a190c6cc212e5c6e3b3ba3a7ba68284d00159|event=HIT|data=seq=97 class=C2-selfcorroborate d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Four schooners sank off Brine Point in the November 1893 storm.|hash=b49ef0ee26897413c7005b64753cbd92777ce653b40d080afc4f0bdca3f56ee8
86|prev=b49ef0ee26897413c7005b64753cbd92777ce653b40d080afc4f0bdca3f56ee8|event=HIT|data=seq=98 class=C2-selfcorroborate d1=2(CORROBORATED) d2=2(CORROBORATED) draft=Four schooners sank off Brine Point in the November 1893 storm.|hash=9ec2eabbfae069c9999d20c15502b42d78820ce02a49f748ea32c79bfe163843
87|prev=9ec2eabbfae069c9999d20c15502b42d78820ce02a49f748ea32c79bfe163843|event=HIT|data=seq=99 class=C2-selfcorroborate d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Two schooners sank off Brine Point in the November 1893 storm.|hash=ff3faa08602d469330a07c1ec14e3865bf95dc0925a3881c287efdf1b9aa3fe7
88|prev=ff3faa08602d469330a07c1ec14e3865bf95dc0925a3881c287efdf1b9aa3fe7|event=HIT|data=seq=100 class=C2-selfcorroborate d1=2(CORROBORATED) d2=2(CORROBORATED) draft=Two schooners sank off Brine Point in the November 1893 storm.|hash=45bea9b77e8a2b40d0be187973ffeb1b6eb979be9f6ae93e3e6993e5d7f56866
89|prev=45bea9b77e8a2b40d0be187973ffeb1b6eb979be9f6ae93e3e6993e5d7f56866|event=HIT|data=seq=101 class=C2-selfcorroborate d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Three schooners sank off Brine Point in the October 1893 storm.|hash=ba7aea06f4f3b49ab9a50ac5d8834a63e3e793b4171ee544524dae0c9c461e82
90|prev=ba7aea06f4f3b49ab9a50ac5d8834a63e3e793b4171ee544524dae0c9c461e82|event=HIT|data=seq=102 class=C2-selfcorroborate d1=2(CORROBORATED) d2=2(CORROBORATED) draft=Three schooners sank off Brine Point in the October 1893 storm.|hash=6682331da72c105630fdbe71f4b61f2745893c390416ef03aa94c2172aab855c
91|prev=6682331da72c105630fdbe71f4b61f2745893c390416ef03aa94c2172aab855c|event=HIT|data=seq=103 class=C2-selfcorroborate d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Ropewalk Lane was paved with cobbles in 1868.|hash=99261a5ecfd7ea7555a3c0f7f2672bebddf9c3ec447c85b10af01b5d8587f523
92|prev=99261a5ecfd7ea7555a3c0f7f2672bebddf9c3ec447c85b10af01b5d8587f523|event=HIT|data=seq=104 class=C2-selfcorroborate d1=2(CORROBORATED) d2=2(CORROBORATED) draft=Ropewalk Lane was paved with cobbles in 1868.|hash=a0d9d2f3902c0d1e84e00caac802de25d20b5d4e16b17fe28db0d27b3fdf1415
93|prev=a0d9d2f3902c0d1e84e00caac802de25d20b5d4e16b17fe28db0d27b3fdf1415|event=HIT|data=seq=105 class=C2-selfcorroborate d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Ropewalk Lane was paved with brick in 1866.|hash=2dc35f8ac5f5de5911f7f7bd671c19b0548efc6ae2910edc7cac074a853d7fd4
94|prev=2dc35f8ac5f5de5911f7f7bd671c19b0548efc6ae2910edc7cac074a853d7fd4|event=HIT|data=seq=106 class=C2-selfcorroborate d1=2(CORROBORATED) d2=2(CORROBORATED) draft=Ropewalk Lane was paved with brick in 1866.|hash=aaf964e564307ff9c848ff43dd9fb24cdf3a20c9fedf52a9af42b652b9867e97
95|prev=aaf964e564307ff9c848ff43dd9fb24cdf3a20c9fedf52a9af42b652b9867e97|event=HIT|data=seq=107 class=C2-selfcorroborate d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The chandlery Tide and Twine closed in 1917.|hash=3bd5956495178f676e8b07249f5dda58b13007c290804a136f4c21c7e11d4d75
96|prev=3bd5956495178f676e8b07249f5dda58b13007c290804a136f4c21c7e11d4d75|event=HIT|data=seq=108 class=C2-selfcorroborate d1=2(CORROBORATED) d2=2(CORROBORATED) draft=The chandlery Tide and Twine closed in 1917.|hash=0875ba65efcc67039d5521af0b09c1024b392dd8799d7615ee2b1133f9cb5c3d
97|prev=0875ba65efcc67039d5521af0b09c1024b392dd8799d7615ee2b1133f9cb5c3d|event=HIT|data=seq=109 class=C2-selfcorroborate d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The chandlery Tide and Twine opened in 1820.|hash=cda7beabf5764082937c7185d31cc5efa2850fdb2629491b9004c3627aec2cae
98|prev=cda7beabf5764082937c7185d31cc5efa2850fdb2629491b9004c3627aec2cae|event=HIT|data=seq=110 class=C2-selfcorroborate d1=2(CORROBORATED) d2=2(CORROBORATED) draft=The chandlery Tide and Twine opened in 1820.|hash=912ddb6242d0cfe52edf593d84fccfe4e42d7dd1c54614eae2fcac59ed46b94d
99|prev=912ddb6242d0cfe52edf593d84fccfe4e42d7dd1c54614eae2fcac59ed46b94d|event=HIT|data=seq=111 class=C2-selfcorroborate d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Pilot Mara Quill guided 500 vessels through the Narrows.|hash=2cc56352148089c714d49b5a8342f032e46e18a093f0e7cd5a03fa9e9b4a5e77
100|prev=2cc56352148089c714d49b5a8342f032e46e18a093f0e7cd5a03fa9e9b4a5e77|event=HIT|data=seq=112 class=C2-selfcorroborate d1=2(CORROBORATED) d2=2(CORROBORATED) draft=Pilot Mara Quill guided 500 vessels through the Narrows.|hash=1a8cb3cb235918f3ee0f931f45a207c3d39c5e25e636760ab701b64b8700b6ea
101|prev=1a8cb3cb235918f3ee0f931f45a207c3d39c5e25e636760ab701b64b8700b6ea|event=HIT|data=seq=113 class=C2-selfcorroborate d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Pilot Mara Quill guided 450 vessels through the Narrows.|hash=f71fcb410bf0fe4eda8369c47292ce3db2ccc85d19807958d355222c6853d14e
102|prev=f71fcb410bf0fe4eda8369c47292ce3db2ccc85d19807958d355222c6853d14e|event=HIT|data=seq=114 class=C2-selfcorroborate d1=2(CORROBORATED) d2=2(CORROBORATED) draft=Pilot Mara Quill guided 450 vessels through the Narrows.|hash=87ee4308332216390894b719997eb9103004a9970c58bb5b22650494a85d7c1b
103|prev=87ee4308332216390894b719997eb9103004a9970c58bb5b22650494a85d7c1b|event=HIT|data=seq=115 class=C2-selfcorroborate d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The great ice-harvest was in the winter of 1873.|hash=3cae5170399a91a027cb082ea9b4edef2c761d62fd4f5b277f0c32f1199f9f45
104|prev=3cae5170399a91a027cb082ea9b4edef2c761d62fd4f5b277f0c32f1199f9f45|event=HIT|data=seq=116 class=C2-selfcorroborate d1=2(CORROBORATED) d2=2(CORROBORATED) draft=The great ice-harvest was in the winter of 1873.|hash=2ce681deb8fbcd2922ba9e8f15a5e239aab69e7b613890705d554892045292fb
105|prev=2ce681deb8fbcd2922ba9e8f15a5e239aab69e7b613890705d554892045292fb|event=HIT|data=seq=117 class=C2-selfcorroborate d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The great ice-harvest was in the winter of 1877.|hash=e0902b0d13f5658c2187120b75a2693e73f1fd3b3537fb497330386a4d0b77a4
106|prev=e0902b0d13f5658c2187120b75a2693e73f1fd3b3537fb497330386a4d0b77a4|event=HIT|data=seq=118 class=C2-selfcorroborate d1=2(CORROBORATED) d2=2(CORROBORATED) draft=The great ice-harvest was in the winter of 1877.|hash=8a8d2e22dccdcda0b4387f7db3315d56d8191af8e374fa9f1d220f17d1fbb7cb
107|prev=8a8d2e22dccdcda0b4387f7db3315d56d8191af8e374fa9f1d220f17d1fbb7cb|event=HIT|data=seq=119 class=C2-selfcorroborate d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Beacon Hill's signal flags spelled storm warnings from 1842.|hash=d5627261d749b880150d9e1999cad728a268d758b71b90fdcc8dacb3e0ac04a8
108|prev=d5627261d749b880150d9e1999cad728a268d758b71b90fdcc8dacb3e0ac04a8|event=HIT|data=seq=120 class=C2-selfcorroborate d1=2(CORROBORATED) d2=2(CORROBORATED) draft=Beacon Hill's signal flags spelled storm warnings from 1842.|hash=f038ddddbbe2d6dbfeefd683c706af5246758b7b7a9267e9ef3faaaed488a006
109|prev=f038ddddbbe2d6dbfeefd683c706af5246758b7b7a9267e9ef3faaaed488a006|event=HIT|data=seq=121 class=C2-selfcorroborate d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The East Channel dredging finished in April 1905.|hash=7162276aa800f47caa641bf193149f3ee097be3696c19f5aec452c7807fc31a2
110|prev=7162276aa800f47caa641bf193149f3ee097be3696c19f5aec452c7807fc31a2|event=HIT|data=seq=122 class=C2-selfcorroborate d1=2(CORROBORATED) d2=2(CORROBORATED) draft=The East Channel dredging finished in April 1905.|hash=8de55a662ebaa668f7ab0d4b0f2e8b3c4e016e07bb7c5d1785fac4e90837ad1f
111|prev=8de55a662ebaa668f7ab0d4b0f2e8b3c4e016e07bb7c5d1785fac4e90837ad1f|event=HIT|data=seq=123 class=C2-selfcorroborate d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The East Channel dredging finished in 1903.|hash=51dc38bcbfcfb60cd90015cf43662af960bb5d5727876a3d27c09f57f5a0a236
112|prev=51dc38bcbfcfb60cd90015cf43662af960bb5d5727876a3d27c09f57f5a0a236|event=HIT|data=seq=124 class=C2-selfcorroborate d1=2(CORROBORATED) d2=2(CORROBORATED) draft=The East Channel dredging finished in 1903.|hash=8b89f28cefed07c7abb835792d462e97b07dfb4107866490e8f03fdebe6e8cf4
113|prev=8b89f28cefed07c7abb835792d462e97b07dfb4107866490e8f03fdebe6e8cf4|event=HIT|data=seq=125 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About alder: Captain Venn's favorite anchorage was the lee of Gull Rock. This is|hash=d9b9a88d70cc3098ac32021bed49c94bbaf92ed0054993e9439c39b1bb9d244c
114|prev=d9b9a88d70cc3098ac32021bed49c94bbaf92ed0054993e9439c39b1bb9d244c|event=HIT|data=seq=126 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About gullrock: The lighthouse keeper rowed out to meet every dawn ferry. This i|hash=1279d49a94424a4c2e930a7c42b4eb38ddceccc984a4f266866edf305e7b6514
115|prev=1279d49a94424a4c2e930a7c42b4eb38ddceccc984a4f266866edf305e7b6514|event=HIT|data=seq=127 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About murre: The Murre's purser kept Sloane's private ledger. This is confirmed |hash=6539fb1673bcd6f1ba2a62de32e2d558f1f1e8eaf9c0580c825188f68f6099d7
116|prev=6539fb1673bcd6f1ba2a62de32e2d558f1f1e8eaf9c0580c825188f68f6099d7|event=HIT|data=seq=128 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About sloane: Sloane personally inspected the Alder's refit in 1840. This is con|hash=aca7f9508b446a65f1f2ead9c71276dab925efe383c4dd7273319ee08dad3be0
117|prev=aca7f9508b446a65f1f2ead9c71276dab925efe383c4dd7273319ee08dad3be0|event=HIT|data=seq=129 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About alder: The lighthouse keeper rowed out to meet every dawn ferry. This is c|hash=8c012b16b075b0d6fc75aaffa141f3f5affb05ca0e8e924649851b2153bdd577
118|prev=8c012b16b075b0d6fc75aaffa141f3f5affb05ca0e8e924649851b2153bdd577|event=HIT|data=seq=130 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About gullrock: The Murre's purser kept Sloane's private ledger. This is confirm|hash=44801acb9a16e37044c00f5a51dd067d01cfa84d0da397650338865901fde82a
119|prev=44801acb9a16e37044c00f5a51dd067d01cfa84d0da397650338865901fde82a|event=HIT|data=seq=131 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About murre: Sloane personally inspected the Alder's refit in 1840. This is conf|hash=618cf4241611fe2068776191b89bc2a717e5abb82ec054d0f87f13fcbc57cedc
120|prev=618cf4241611fe2068776191b89bc2a717e5abb82ec054d0f87f13fcbc57cedc|event=HIT|data=seq=132 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About sloane: Captain Venn's favorite anchorage was the lee of Gull Rock. This i|hash=70e882ecc26abdf758958ae1fd61421678dc3f54be95d8249dc9e1a06616d74a
121|prev=70e882ecc26abdf758958ae1fd61421678dc3f54be95d8249dc9e1a06616d74a|event=HIT|data=seq=133 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About alder: The Murre's purser kept Sloane's private ledger. This is confirmed |hash=6775e29c76c531483a850205e61160b2714b81c73e058e5ab73f2bc3e74eaa5a
122|prev=6775e29c76c531483a850205e61160b2714b81c73e058e5ab73f2bc3e74eaa5a|event=HIT|data=seq=134 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About gullrock: Sloane personally inspected the Alder's refit in 1840. This is c|hash=a4a217bba77e94d2264b94aca0a5012780db012949487a126d87c9c0d5347dfa
123|prev=a4a217bba77e94d2264b94aca0a5012780db012949487a126d87c9c0d5347dfa|event=HIT|data=seq=135 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About murre: Captain Venn's favorite anchorage was the lee of Gull Rock. This is|hash=5f81e9b5b332e70c97e4ee86f130ef0ec53e577540119e792c7e48da776df1f7
124|prev=5f81e9b5b332e70c97e4ee86f130ef0ec53e577540119e792c7e48da776df1f7|event=HIT|data=seq=136 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About sloane: The lighthouse keeper rowed out to meet every dawn ferry. This is |hash=e5d665ae23ab0419b6c0fa39d94f898759821f49221636cf44a5a572e8b4aede
125|prev=e5d665ae23ab0419b6c0fa39d94f898759821f49221636cf44a5a572e8b4aede|event=HIT|data=seq=137 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About alder: Sloane personally inspected the Alder's refit in 1840. This is conf|hash=8f8e6c84ab12758c971e7a79200aa27da8e297a04079921f76ec738162e21cbd
126|prev=8f8e6c84ab12758c971e7a79200aa27da8e297a04079921f76ec738162e21cbd|event=HIT|data=seq=138 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About gullrock: Captain Venn's favorite anchorage was the lee of Gull Rock. This|hash=a131f60dff72cd5bfba6e2b9802e0a9f820fe776ee99455105594bd2323de70d
127|prev=a131f60dff72cd5bfba6e2b9802e0a9f820fe776ee99455105594bd2323de70d|event=HIT|data=seq=139 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About murre: The lighthouse keeper rowed out to meet every dawn ferry. This is c|hash=13c2c6e06b7387ea8ecbe0e8e8484a909e36d6838e8716524c2b74b2587c18dd
128|prev=13c2c6e06b7387ea8ecbe0e8e8484a909e36d6838e8716524c2b74b2587c18dd|event=HIT|data=seq=140 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About sloane: The Murre's purser kept Sloane's private ledger. This is confirmed|hash=9ddec863f5cab1d2b140f34841f6ae1cca696426a311956fa8f431af07cb9a7d
129|prev=9ddec863f5cab1d2b140f34841f6ae1cca696426a311956fa8f431af07cb9a7d|event=HIT|data=seq=141 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About alder: Captain Venn's favorite anchorage was the lee of Gull Rock. This is|hash=1ad25a79e9d0e2b758266b45167f4970a19e10471e7ca312b3b4c10c7c12fa5d
130|prev=1ad25a79e9d0e2b758266b45167f4970a19e10471e7ca312b3b4c10c7c12fa5d|event=HIT|data=seq=142 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About gullrock: The lighthouse keeper rowed out to meet every dawn ferry. This i|hash=a01093124b99937051cf77a9fcf127257063c23a44b868bd5e263b770df2e59c
131|prev=a01093124b99937051cf77a9fcf127257063c23a44b868bd5e263b770df2e59c|event=HIT|data=seq=143 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About murre: The Murre's purser kept Sloane's private ledger. This is confirmed |hash=4382edb9707e0906ddfda4109d6713abcb5dab10361d60c3466c445d2737685b
132|prev=4382edb9707e0906ddfda4109d6713abcb5dab10361d60c3466c445d2737685b|event=HIT|data=seq=144 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About sloane: Sloane personally inspected the Alder's refit in 1840. This is con|hash=9094e64ed6aae6903dc3d5355c598e7069f2257dcf0f2e1c376a86ca184e9651
133|prev=9094e64ed6aae6903dc3d5355c598e7069f2257dcf0f2e1c376a86ca184e9651|event=HIT|data=seq=145 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About alder: The lighthouse keeper rowed out to meet every dawn ferry. This is c|hash=cfcb01ec0e2638b6ebe2fcb9555ba7b63efaba41804aea68631095607d18036f
134|prev=cfcb01ec0e2638b6ebe2fcb9555ba7b63efaba41804aea68631095607d18036f|event=HIT|data=seq=146 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About gullrock: The Murre's purser kept Sloane's private ledger. This is confirm|hash=02b185b06ee23250c74f8c2d0288afa4a8888b8fd8bb9565739c7e2592a44df4
135|prev=02b185b06ee23250c74f8c2d0288afa4a8888b8fd8bb9565739c7e2592a44df4|event=HIT|data=seq=147 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About murre: Sloane personally inspected the Alder's refit in 1840. This is conf|hash=cb26ac76880d96b17a9c6f4cacf8d10a3d0871b3bd9f1f6157b24f394c44b299
136|prev=cb26ac76880d96b17a9c6f4cacf8d10a3d0871b3bd9f1f6157b24f394c44b299|event=HIT|data=seq=148 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About sloane: Captain Venn's favorite anchorage was the lee of Gull Rock. This i|hash=30b463fc104179db97c7005b3f3d53641cba3c71a04360b80d293a32d19d847a
137|prev=30b463fc104179db97c7005b3f3d53641cba3c71a04360b80d293a32d19d847a|event=HIT|data=seq=149 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About alder: The Murre's purser kept Sloane's private ledger. This is confirmed |hash=594595b4fbab20675528b5a4f635c4495aa7491ffb89d60634fe9cadc150b9aa
138|prev=594595b4fbab20675528b5a4f635c4495aa7491ffb89d60634fe9cadc150b9aa|event=HIT|data=seq=150 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About gullrock: Sloane personally inspected the Alder's refit in 1840. This is c|hash=84b97f04c887651f42bede960598b9fba0e6c5248d3dcf233e05c6ad981d3be6
139|prev=84b97f04c887651f42bede960598b9fba0e6c5248d3dcf233e05c6ad981d3be6|event=HIT|data=seq=151 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About murre: Captain Venn's favorite anchorage was the lee of Gull Rock. This is|hash=2e40526a7086a65fa8b8018c6346f191a156754f80335635164b87a71762a1bd
140|prev=2e40526a7086a65fa8b8018c6346f191a156754f80335635164b87a71762a1bd|event=HIT|data=seq=152 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About sloane: The lighthouse keeper rowed out to meet every dawn ferry. This is |hash=210f66cc1bf432cdc3dccd5dec9f9e23a4c4a304c35cde67880830950bc802dc
141|prev=210f66cc1bf432cdc3dccd5dec9f9e23a4c4a304c35cde67880830950bc802dc|event=HIT|data=seq=153 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About alder: Sloane personally inspected the Alder's refit in 1840. This is conf|hash=c665495b9f176b1190ddf5982baa3953eef5e72806262c6874bcb62acb83518f
142|prev=c665495b9f176b1190ddf5982baa3953eef5e72806262c6874bcb62acb83518f|event=HIT|data=seq=154 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About gullrock: Captain Venn's favorite anchorage was the lee of Gull Rock. This|hash=67953a7cdc5fc9e7dab844060d7be7b242d25d9cdf760d373e23c650ccebc0a5
143|prev=67953a7cdc5fc9e7dab844060d7be7b242d25d9cdf760d373e23c650ccebc0a5|event=HIT|data=seq=155 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About murre: The lighthouse keeper rowed out to meet every dawn ferry. This is c|hash=2822cf5dc8146b17046864f3952b78ea7764fcefb7d0402bee140b769c430c02
144|prev=2822cf5dc8146b17046864f3952b78ea7764fcefb7d0402bee140b769c430c02|event=HIT|data=seq=156 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About sloane: The Murre's purser kept Sloane's private ledger. This is confirmed|hash=35df4431a32e18a225291ee7916ce5713a2e1cc2f3f1ea60a3d30eb1ba8fcfe9
145|prev=35df4431a32e18a225291ee7916ce5713a2e1cc2f3f1ea60a3d30eb1ba8fcfe9|event=HIT|data=seq=157 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About alder: Captain Venn's favorite anchorage was the lee of Gull Rock. This is|hash=05c8cde3e1f03a2a8725642eaf70c67f5aa3497e2e6639d7cbc65bf8b601b56d
146|prev=05c8cde3e1f03a2a8725642eaf70c67f5aa3497e2e6639d7cbc65bf8b601b56d|event=HIT|data=seq=158 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About gullrock: The lighthouse keeper rowed out to meet every dawn ferry. This i|hash=e6c91cec7fb62c9eb213512f0e8ba902727ff191382da3db6d53f8b385465639
147|prev=e6c91cec7fb62c9eb213512f0e8ba902727ff191382da3db6d53f8b385465639|event=HIT|data=seq=159 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About murre: The Murre's purser kept Sloane's private ledger. This is confirmed |hash=841c645206fc702b99d7b629bbd711de3573cdb30f2c4106d33120e51f0981e1
148|prev=841c645206fc702b99d7b629bbd711de3573cdb30f2c4106d33120e51f0981e1|event=HIT|data=seq=160 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About sloane: Sloane personally inspected the Alder's refit in 1840. This is con|hash=6fc4cb1f833c33e39e328c2b826cc0ae9047d4eea6a03f373a1669f5cd206b9b
149|prev=6fc4cb1f833c33e39e328c2b826cc0ae9047d4eea6a03f373a1669f5cd206b9b|event=HIT|data=seq=161 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About alder: The lighthouse keeper rowed out to meet every dawn ferry. This is c|hash=d0f46782bd2cb16cbf8cd40700892ce4ce09d48e539c887c6bf5ce2fd1061231
150|prev=d0f46782bd2cb16cbf8cd40700892ce4ce09d48e539c887c6bf5ce2fd1061231|event=HIT|data=seq=162 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About gullrock: The Murre's purser kept Sloane's private ledger. This is confirm|hash=a0210b119e59d9b52d0da91b439e0ae37b1f38a0ba3e29bc8bdf3332af2bf50f
151|prev=a0210b119e59d9b52d0da91b439e0ae37b1f38a0ba3e29bc8bdf3332af2bf50f|event=HIT|data=seq=163 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About murre: Sloane personally inspected the Alder's refit in 1840. This is conf|hash=767881d19543d77b112dceacf3b814aa95d6499c121ae4886236963bdac0bc81
152|prev=767881d19543d77b112dceacf3b814aa95d6499c121ae4886236963bdac0bc81|event=HIT|data=seq=164 class=C3-substitution d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=About sloane: Captain Venn's favorite anchorage was the lee of Gull Rock. This i|hash=b7c75f4817407715ec34290e99b291e3168f8536e05e923a465022574db00312
153|prev=b7c75f4817407715ec34290e99b291e3168f8536e05e923a465022574db00312|event=HIT|data=seq=177 class=C4-challenger d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=The Kestrel Bay tide-mill was decommissioned in 1847.|hash=eae035031b490772b5fc3084d7137d750bc91caeba480dfa594d31d8c895e99b
154|prev=eae035031b490772b5fc3084d7137d750bc91caeba480dfa594d31d8c895e99b|event=HIT|data=seq=178 class=C4-challenger d1=2(CORROBORATED) d2=2(CORROBORATED) draft=The Kestrel Bay tide-mill was decommissioned in 1847.|hash=f76d5a56b78cda143452d5e4ffcc9cb558f56addfbc6db118292647b82621f0d
155|prev=f76d5a56b78cda143452d5e4ffcc9cb558f56addfbc6db118292647b82621f0d|event=HIT|data=seq=181 class=C4-challenger d1=8(CHALLENGER_PROV) d2=7(REVISED_INSTALL) draft=Captain Venn commanded the Alder until 1846.|hash=312732a0c0bb1d1d764d9745e4793f367a1679f0031f03eae809ea2caaa5ed48
