CC_ARGV1,b7c2
B7C2,start
TEACHER_REP_SCAN,0,0,overlap
TEACHER_REP_SCAN,1,0,overlap
TEACHER_REP_SCAN,2,0,overlap
TEACHER_REP_SCAN,3,0,overlap
TEACHER_REP_SCAN,4,0,overlap
TEACHER_REP_FALLBACK,no_disjoint_rep_in_0_to_4
B7C2_REP,0
CC_GEOMETRY,lane_n,48,48,48,96,missing,0,base,0,48,96,144
CCM,0,237,0,10,10,10,10,10,10,10,10,10,10
CCM,0,178,0,10,10,10,10,10,10,10,10,10,10
CCM,0,215,0,101,101,101,101,101,101,101,101,101,101
CCM,0,156,0,10,10,10,10,10,10,10,10,10,10
CCM,0,193,0,2,2,2,2,2,2,2,2,2,2
CCM,0,230,0,4,4,4,4,4,4,4,4,4,4
CCM,0,171,0,5,5,5,5,5,5,5,5,5,5
CCM,0,208,0,56,56,56,56,56,56,56,56,56,56
CCM,0,149,0,4,4,4,4,4,4,4,4,4,4
CCM,0,186,0,16,16,16,16,16,16,16,16,16,16
CCM,0,223,0,20,20,20,20,20,20,20,20,20,20
CCM,0,164,0,3,3,3,3,3,3,3,3,3,3
CCM,0,201,0,10,10,10,10,10,10,10,10,10,10
CCM,0,179,0,5,5,5,5,5,5,5,5,5,5
CCM,0,216,0,12,12,12,12,12,12,12,12,12,12
CCM,0,157,0,100,100,100,100,100,100,100,100,100,100
CCM,0,231,0,7,7,7,7,7,7,7,7,7,7
CCM,0,172,0,50,50,50,50,50,50,50,50,50,50
CCM,0,209,0,3,3,3,3,3,3,3,3,3,3
CCM,0,150,0,52,52,52,52,52,52,52,52,52,52
CCM,0,187,0,8,8,8,8,8,8,8,8,8,8
CCM,0,224,0,30,30,30,30,30,30,30,30,30,30
CCM,0,165,0,7,7,7,7,7,7,7,7,7,7
CCM,0,202,0,7,7,7,7,7,7,7,7,7,7
CCM,0,180,0,11,11,11,11,11,11,11,11,11,11
CCM,0,217,0,8,8,8,8,8,8,8,8,8,8
CCM,0,158,0,12,12,12,12,12,12,12,12,12,12
CCM,0,195,0,12,12,12,12,12,12,12,12,12,12
CCM,0,232,0,12,12,12,12,12,12,12,12,12,12
CCM,0,173,0,13,13,13,13,13,13,13,13,13,13
CCM,0,210,0,7,7,7,7,7,7,7,7,7,7
CCM,0,151,0,24,24,24,24,24,24,24,24,24,24
CCM,0,188,0,6,6,6,6,6,6,6,6,6,6
CCM,0,225,0,9,9,9,9,9,9,9,9,9,9
CCM,0,166,0,88,88,88,88,88,88,88,88,88,88
CCM,0,203,0,66,66,66,66,66,66,66,66,66,66
CC_GEOMETRY,lane_n,48,48,48,96,missing,0,base,0,48,96,144
CCM,0,0,0,1,1,1,1,1,1,1,1,1,1
CCM,0,37,0,12,12,12,12,12,12,12,12,12,12
CCM,0,26,0,1,1,1,1,1,1,1,1,1,1
CCM,0,15,0,16,16,16,16,16,16,16,16,16,16
CCM,0,4,0,5,5,5,5,5,5,5,5,5,5
CCM,0,41,0,16,16,16,16,16,16,16,16,16,16
CCM,0,30,0,5,5,5,5,5,5,5,5,5,5
CCM,0,19,0,20,20,20,20,20,20,20,20,20,20
CCM,0,8,0,9,9,9,9,9,9,9,9,9,9
CCM,0,45,0,20,20,20,20,20,20,20,20,20,20
CCM,0,34,0,9,9,9,9,9,9,9,9,9,9
CCM,0,23,0,24,24,24,24,24,24,24,24,24,24
CCM,0,12,0,13,13,13,13,13,13,13,13,13,13
CCM,0,38,0,13,13,13,13,13,13,13,13,13,13
CCM,0,27,0,2,2,2,2,2,2,2,2,2,2
CCM,0,16,0,17,17,17,17,17,17,17,17,17,17
CCM,0,5,0,6,6,6,6,6,6,6,6,6,6
CCM,0,42,0,17,17,17,17,17,17,17,17,17,17
CCM,0,31,0,6,6,6,6,6,6,6,6,6,6
CCM,0,20,0,21,21,21,21,21,21,21,21,21,21
CCM,0,9,0,10,10,10,10,10,10,10,10,10,10
CCM,0,46,0,21,21,21,21,21,21,21,21,21,21
CCM,0,35,0,10,10,10,10,10,10,10,10,10,10
CCM,0,24,0,25,25,25,25,25,25,25,25,25,25
CCM,0,13,0,14,14,14,14,14,14,14,14,14,14
CCM,0,2,0,3,3,3,3,3,3,3,3,3,3
CCM,0,39,0,14,14,14,14,14,14,14,14,14,14
CCM,0,28,0,3,3,3,3,3,3,3,3,3,3
CCM,0,17,0,18,18,18,18,18,18,18,18,18,18
CCM,0,6,0,7,7,7,7,7,7,7,7,7,7
CCM,0,43,0,18,18,18,18,18,18,18,18,18,18
CCM,0,32,0,7,7,7,7,7,7,7,7,7,7
CCM,0,21,0,22,22,22,22,22,22,22,22,22,22
CCM,0,10,0,11,11,11,11,11,11,11,11,11,11
CCM,0,36,0,11,11,11,11,11,11,11,11,11,11
CCM,0,25,0,26,26,26,26,26,26,26,26,26,26
CCM,0,14,0,15,15,15,15,15,15,15,15,15,15
CCM,0,3,0,5,5,5,5,5,5,5,5,5,5
CCM,0,40,0,15,15,15,15,15,15,15,15,15,15
CCM,0,29,0,6,6,6,6,6,6,6,6,6,6
CCM,0,18,0,19,19,19,19,19,19,19,19,19,19
CCM,0,7,0,8,8,8,8,8,8,8,8,8,8
CCM,0,44,0,19,19,19,19,19,19,19,19,19,19
CCM,0,33,0,8,8,8,8,8,8,8,8,8,8
CCM,0,22,0,23,23,23,23,23,23,23,23,23,23
CCM,0,11,0,12,12,12,12,12,12,12,12,12,12
CCM,0,85,0,5,5,5,5,5,5,5,5,5,5
CCM,0,74,0,20,20,20,20,20,20,20,20,20,20
CCM,0,63,0,16,16,16,16,16,16,16,16,16,16
CCM,0,52,0,5,5,5,5,5,5,5,5,5,5
CCM,0,89,0,7,7,7,7,7,7,7,7,7,7
CCM,0,78,0,4,4,4,4,4,4,4,4,4,4
CCM,0,67,0,20,20,20,20,20,20,20,20,20,20
CCM,0,56,0,9,9,9,9,9,9,9,9,9,9
CCM,0,93,0,7,7,7,7,7,7,7,7,7,7
CCM,0,82,0,6,6,6,6,6,6,6,6,6,6
CCM,0,71,0,21,21,21,21,21,21,21,21,21,21
CCM,0,60,0,13,13,13,13,13,13,13,13,13,13
CCM,0,86,0,5,5,5,5,5,5,5,5,5,5
CCM,0,75,0,25,25,25,25,25,25,25,25,25,25
CCM,0,64,0,17,17,17,17,17,17,17,17,17,17
CCM,0,53,0,6,6,6,6,6,6,6,6,6,6
CCM,0,90,0,8,8,8,8,8,8,8,8,8,8
CCM,0,79,0,8,8,8,8,8,8,8,8,8,8
CCM,0,68,0,21,21,21,21,21,21,21,21,21,21
CCM,0,57,0,10,10,10,10,10,10,10,10,10,10
CCM,0,94,0,4,4,4,4,4,4,4,4,4,4
CCM,0,83,0,7,7,7,7,7,7,7,7,7,7
CCM,0,72,0,21,21,21,21,21,21,21,21,21,21
CCM,0,61,0,14,14,14,14,14,14,14,14,14,14
CCM,0,50,0,3,3,3,3,3,3,3,3,3,3
CCM,0,87,0,4,4,4,4,4,4,4,4,4,4
CCM,0,76,0,28,28,28,28,28,28,28,28,28,28
CCM,0,65,0,18,18,18,18,18,18,18,18,18,18
CCM,0,54,0,7,7,7,7,7,7,7,7,7,7
CCM,0,91,0,10,10,10,10,10,10,10,10,10,10
CCM,0,80,0,8,8,8,8,8,8,8,8,8,8
CCM,0,69,0,22,22,22,22,22,22,22,22,22,22
CCM,0,58,0,11,11,11,11,11,11,11,11,11,11
CCM,0,95,0,3,3,3,3,3,3,3,3,3,3
CCM,0,84,0,4,4,4,4,4,4,4,4,4,4
CCM,0,73,0,21,21,21,21,21,21,21,21,21,21
CCM,0,62,0,15,15,15,15,15,15,15,15,15,15
CCM,0,51,0,4,4,4,4,4,4,4,4,4,4
CCM,0,88,0,5,5,5,5,5,5,5,5,5,5
CCM,0,77,0,4,4,4,4,4,4,4,4,4,4
CCM,0,66,0,19,19,19,19,19,19,19,19,19,19
CCM,0,55,0,7,7,7,7,7,7,7,7,7,7
CCM,0,92,0,9,9,9,9,9,9,9,9,9,9
CCM,0,81,0,8,8,8,8,8,8,8,8,8,8
CCM,0,70,0,21,21,21,21,21,21,21,21,21,21
CCM,0,59,0,12,12,12,12,12,12,12,12,12,12
CCM,0,133,0,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886
CCM,0,122,0,1859,1859,1859,1859,1859,1859,1859,1859,1859,1859
CCM,0,111,0,1813,1813,1813,1813,1813,1813,1813,1813,1813,1813
CCM,0,100,0,1623,1623,1623,1623,1623,1623,1623,1623,1623,1623
CCM,0,137,0,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891
CCM,0,126,0,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866
CCM,0,115,0,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847
CCM,0,104,0,1719,1719,1719,1719,1719,1719,1719,1719,1719,1719
CCM,0,141,0,1898,1898,1898,1898,1898,1898,1898,1898,1898,1898
CCM,0,130,0,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880
CCM,0,119,0,1852,1852,1852,1852,1852,1852,1852,1852,1852,1852
CCM,0,108,0,1759,1759,1759,1759,1759,1759,1759,1759,1759,1759
CCM,0,134,0,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886
CCM,0,123,0,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861
CCM,0,112,0,1818,1818,1818,1818,1818,1818,1818,1818,1818,1818
CCM,0,101,0,1651,1651,1651,1651,1651,1651,1651,1651,1651,1651
CCM,0,138,0,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892
CCM,0,127,0,1869,1869,1869,1869,1869,1869,1869,1869,1869,1869
CCM,0,116,0,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850
CCM,0,105,0,1726,1726,1726,1726,1726,1726,1726,1726,1726,1726
CCM,0,142,0,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903
CCM,0,131,0,1883,1883,1883,1883,1883,1883,1883,1883,1883,1883
CCM,0,120,0,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854
CCM,0,109,0,1766,1766,1766,1766,1766,1766,1766,1766,1766,1766
CCM,0,98,0,1608,1608,1608,1608,1608,1608,1608,1608,1608,1608
CCM,0,135,0,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887
CCM,0,124,0,1862,1862,1862,1862,1862,1862,1862,1862,1862,1862
CCM,0,113,0,1826,1826,1826,1826,1826,1826,1826,1826,1826,1826
CCM,0,102,0,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667
CCM,0,139,0,1896,1896,1896,1896,1896,1896,1896,1896,1896,1896
CCM,0,128,0,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871
CCM,0,117,0,1851,1851,1851,1851,1851,1851,1851,1851,1851,1851
CCM,0,106,0,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740
CCM,0,143,0,1925,1925,1925,1925,1925,1925,1925,1925,1925,1925
CCM,0,132,0,1884,1884,1884,1884,1884,1884,1884,1884,1884,1884
CCM,0,121,0,1857,1857,1857,1857,1857,1857,1857,1857,1857,1857
CCM,0,110,0,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776
CCM,0,99,0,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611
CCM,0,136,0,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890
CCM,0,125,0,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865
CCM,0,114,0,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847
CCM,0,103,0,1688,1688,1688,1688,1688,1688,1688,1688,1688,1688
CCM,0,140,0,1897,1897,1897,1897,1897,1897,1897,1897,1897,1897
CCM,0,129,0,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878
CCM,0,118,0,1851,1851,1851,1851,1851,1851,1851,1851,1851,1851
CCM,0,107,0,1749,1749,1749,1749,1749,1749,1749,1749,1749,1749
CCM,0,144,0,26,26,26,26,26,26,26,26,26,26
CCM,0,181,0,11,11,11,11,11,11,11,11,11,11
CCM,0,218,0,9,9,9,9,9,9,9,9,9,9
CCM,0,159,0,3,3,3,3,3,3,3,3,3,3
CCM,0,233,0,30,30,30,30,30,30,30,30,30,30
CCM,0,174,0,50,50,50,50,50,50,50,50,50,50
CCM,0,211,0,7,7,7,7,7,7,7,7,7,7
CCM,0,152,0,60,60,60,60,60,60,60,60,60,60
CCM,0,189,0,21,21,21,21,21,21,21,21,21,21
CCM,0,226,0,100,100,100,100,100,100,100,100,100,100
CCM,0,167,0,6,6,6,6,6,6,6,6,6,6
CCM,0,204,0,4,4,4,4,4,4,4,4,4,4
CCM,0,145,0,5,5,5,5,5,5,5,5,5,5
CCM,0,182,0,4,4,4,4,4,4,4,4,4,4
CCM,0,219,0,40,40,40,40,40,40,40,40,40,40
CCM,0,160,0,18,18,18,18,18,18,18,18,18,18
CCM,0,197,0,7,7,7,7,7,7,7,7,7,7
CCM,0,234,0,31,31,31,31,31,31,31,31,31,31
CCM,0,175,0,7,7,7,7,7,7,7,7,7,7
CCM,0,212,0,5,5,5,5,5,5,5,5,5,5
CCM,0,153,0,60,60,60,60,60,60,60,60,60,60
CCM,0,190,0,12,12,12,12,12,12,12,12,12,12
CCM,0,227,0,100,100,100,100,100,100,100,100,100,100
CCM,0,168,0,4,4,4,4,4,4,4,4,4,4
CCM,0,205,0,38,38,38,38,38,38,38,38,38,38
CCM,0,183,0,13,13,13,13,13,13,13,13,13,13
CCM,0,220,0,12,12,12,12,12,12,12,12,12,12
CCM,0,161,0,4,4,4,4,4,4,4,4,4,4
CCM,0,198,0,9,9,9,9,9,9,9,9,9,9
CCM,0,235,0,28,28,28,28,28,28,28,28,28,28
CCM,0,176,0,5,5,5,5,5,5,5,5,5,5
CCM,0,213,0,4,4,4,4,4,4,4,4,4,4
CCM,0,154,0,168,168,168,168,168,168,168,168,168,168
CCM,0,191,0,32,32,32,32,32,32,32,32,32,32
CCM,0,228,0,16,16,16,16,16,16,16,16,16,16
CCM,0,169,0,8,8,8,8,8,8,8,8,8,8
CCM,0,206,0,12,12,12,12,12,12,12,12,12,12
CCM,0,184,0,52,52,52,52,52,52,52,52,52,52
CCM,0,221,0,12,12,12,12,12,12,12,12,12,12
CCM,0,162,0,2,2,2,2,2,2,2,2,2,2
CCM,0,199,0,3,3,3,3,3,3,3,3,3,3
CCM,0,236,0,29,29,29,29,29,29,29,29,29,29
CCM,0,177,0,15,15,15,15,15,15,15,15,15,15
CCM,0,214,0,7,7,7,7,7,7,7,7,7,7
CCM,0,155,0,27,27,27,27,27,27,27,27,27,27
CCM,0,192,0,2,2,2,2,2,2,2,2,2,2
CCM,0,229,0,118,118,118,118,118,118,118,118,118,118
CCM,0,170,0,4,4,4,4,4,4,4,4,4,4
CCM,0,207,0,4,4,4,4,4,4,4,4,4,4
CCM,0,148,0,12,12,12,12,12,12,12,12,12,12
CCM,0,185,0,64,64,64,64,64,64,64,64,64,64
CCM,0,222,0,144,144,144,144,144,144,144,144,144,144
CCM,0,163,0,4,4,4,4,4,4,4,4,4,4
CCM,0,200,0,12,12,12,12,12,12,12,12,12,12
CCM,0,237,0,10,10,10,10,10,10,10,10,10,10
CCM,0,178,0,10,10,10,10,10,10,10,10,10,10
CCM,0,215,0,101,101,101,101,101,101,101,101,101,101
CCM,0,156,0,10,10,10,10,10,10,10,10,10,10
CCM,0,193,0,2,2,2,2,2,2,2,2,2,2
CCM,0,230,0,4,4,4,4,4,4,4,4,4,4
CCM,0,171,0,5,5,5,5,5,5,5,5,5,5
CCM,0,208,0,56,56,56,56,56,56,56,56,56,56
CCM,0,149,0,4,4,4,4,4,4,4,4,4,4
CCM,0,186,0,16,16,16,16,16,16,16,16,16,16
CCM,0,223,0,20,20,20,20,20,20,20,20,20,20
CCM,0,164,0,3,3,3,3,3,3,3,3,3,3
CCM,0,201,0,10,10,10,10,10,10,10,10,10,10
CCM,0,179,0,5,5,5,5,5,5,5,5,5,5
CCM,0,216,0,12,12,12,12,12,12,12,12,12,12
CCM,0,157,0,100,100,100,100,100,100,100,100,100,100
CCM,0,231,0,7,7,7,7,7,7,7,7,7,7
CCM,0,172,0,50,50,50,50,50,50,50,50,50,50
CCM,0,209,0,3,3,3,3,3,3,3,3,3,3
CCM,0,150,0,52,52,52,52,52,52,52,52,52,52
CCM,0,187,0,8,8,8,8,8,8,8,8,8,8
CCM,0,224,0,30,30,30,30,30,30,30,30,30,30
CCM,0,165,0,7,7,7,7,7,7,7,7,7,7
CCM,0,202,0,7,7,7,7,7,7,7,7,7,7
CCM,0,180,0,11,11,11,11,11,11,11,11,11,11
CCM,0,217,0,8,8,8,8,8,8,8,8,8,8
CCM,0,158,0,12,12,12,12,12,12,12,12,12,12
CCM,0,195,0,12,12,12,12,12,12,12,12,12,12
CCM,0,232,0,12,12,12,12,12,12,12,12,12,12
CCM,0,173,0,13,13,13,13,13,13,13,13,13,13
CCM,0,210,0,7,7,7,7,7,7,7,7,7,7
CCM,0,151,0,24,24,24,24,24,24,24,24,24,24
CCM,0,188,0,6,6,6,6,6,6,6,6,6,6
CCM,0,225,0,9,9,9,9,9,9,9,9,9,9
CCM,0,166,0,88,88,88,88,88,88,88,88,88,88
CCM,0,203,0,66,66,66,66,66,66,66,66,66,66
TEACHER_DETERMINISM,rep,0,ok,1
CORPUS_SHA256,sol,41aa8f5be15f778034cfce63250233468d364f52b318a02f63a87ac7459015d7
CORPUS_SHA256,grok-4.6,7f3a25739981c8276082ceeda7de3628afd88977e7a16bd0a5f220eba2bc2508
CORPUS_SHA256,step-3.7-flash,c52e4f52dc15713a5995ff7bc26b9b04298d79df881dca1a90052b76d2ea69ab
CORPUS_SHA256,swe-1-6-slow,ca1e7b85791fb26966cb7671274a29168679b052016653592b77712b92456b7f
CORPUS_SHA256,muse-native,1d5c2ede5332c857a31c053d88b0930d4cb6ca080a549f59012d1defa9c51e07
CC_GEOMETRY,lane_n,48,48,48,96,missing,0,base,0,48,96,144
CCM,0,0,0,1,1,1,1,1,1,1,1,1,1
CCM,0,37,0,12,12,12,12,12,12,12,12,12,12
CCM,0,26,0,1,1,1,1,1,1,1,1,1,1
CCM,0,15,0,16,16,16,16,16,16,16,16,16,16
CCM,0,4,0,5,5,5,5,5,5,5,5,5,5
CCM,0,41,0,16,16,16,16,16,16,16,16,16,16
CCM,0,30,0,5,5,5,5,5,5,5,5,5,5
CCM,0,19,0,20,20,20,20,20,20,20,20,20,20
CCM,0,8,0,9,9,9,9,9,9,9,9,9,9
CCM,0,45,0,20,20,20,20,20,20,20,20,20,20
CCM,0,34,0,9,9,9,9,9,9,9,9,9,9
CCM,0,23,0,24,24,24,24,24,24,24,24,24,24
CCM,0,12,0,13,13,13,13,13,13,13,13,13,13
CCM,0,38,0,13,13,13,13,13,13,13,13,13,13
CCM,0,27,0,2,2,2,2,2,2,2,2,2,2
CCM,0,16,0,17,17,17,17,17,17,17,17,17,17
CCM,0,5,0,6,6,6,6,6,6,6,6,6,6
CCM,0,42,0,17,17,17,17,17,17,17,17,17,17
CCM,0,31,0,6,6,6,6,6,6,6,6,6,6
CCM,0,20,0,21,21,21,21,21,21,21,21,21,21
CCM,0,9,0,10,10,10,10,10,10,10,10,10,10
CCM,0,46,0,21,21,21,21,21,21,21,21,21,21
CCM,0,35,0,10,10,10,10,10,10,10,10,10,10
CCM,0,24,0,25,25,25,25,25,25,25,25,25,25
CCM,0,13,0,14,14,14,14,14,14,14,14,14,14
CCM,0,2,0,3,3,3,3,3,3,3,3,3,3
CCM,0,39,0,14,14,14,14,14,14,14,14,14,14
CCM,0,28,0,3,3,3,3,3,3,3,3,3,3
CCM,0,17,0,18,18,18,18,18,18,18,18,18,18
CCM,0,6,0,7,7,7,7,7,7,7,7,7,7
CCM,0,43,0,18,18,18,18,18,18,18,18,18,18
CCM,0,32,0,7,7,7,7,7,7,7,7,7,7
CCM,0,21,0,22,22,22,22,22,22,22,22,22,22
CCM,0,10,0,11,11,11,11,11,11,11,11,11,11
CCM,0,36,0,11,11,11,11,11,11,11,11,11,11
CCM,0,25,0,26,26,26,26,26,26,26,26,26,26
CCM,0,14,0,15,15,15,15,15,15,15,15,15,15
CCM,0,3,0,5,5,5,5,5,5,5,5,5,5
CCM,0,40,0,15,15,15,15,15,15,15,15,15,15
CCM,0,29,0,6,6,6,6,6,6,6,6,6,6
CCM,0,18,0,19,19,19,19,19,19,19,19,19,19
CCM,0,7,0,8,8,8,8,8,8,8,8,8,8
CCM,0,44,0,19,19,19,19,19,19,19,19,19,19
CCM,0,33,0,8,8,8,8,8,8,8,8,8,8
CCM,0,22,0,23,23,23,23,23,23,23,23,23,23
CCM,0,11,0,12,12,12,12,12,12,12,12,12,12
CCM,0,85,0,5,5,5,5,5,5,5,5,5,5
CCM,0,74,0,20,20,20,20,20,20,20,20,20,20
CCM,0,63,0,16,16,16,16,16,16,16,16,16,16
CCM,0,52,0,5,5,5,5,5,5,5,5,5,5
CCM,0,89,0,7,7,7,7,7,7,7,7,7,7
CCM,0,78,0,4,4,4,4,4,4,4,4,4,4
CCM,0,67,0,20,20,20,20,20,20,20,20,20,20
CCM,0,56,0,9,9,9,9,9,9,9,9,9,9
CCM,0,93,0,7,7,7,7,7,7,7,7,7,7
CCM,0,82,0,6,6,6,6,6,6,6,6,6,6
CCM,0,71,0,21,21,21,21,21,21,21,21,21,21
CCM,0,60,0,13,13,13,13,13,13,13,13,13,13
CCM,0,86,0,5,5,5,5,5,5,5,5,5,5
CCM,0,75,0,25,25,25,25,25,25,25,25,25,25
CCM,0,64,0,17,17,17,17,17,17,17,17,17,17
CCM,0,53,0,6,6,6,6,6,6,6,6,6,6
CCM,0,90,0,8,8,8,8,8,8,8,8,8,8
CCM,0,79,0,8,8,8,8,8,8,8,8,8,8
CCM,0,68,0,21,21,21,21,21,21,21,21,21,21
CCM,0,57,0,10,10,10,10,10,10,10,10,10,10
CCM,0,94,0,4,4,4,4,4,4,4,4,4,4
CCM,0,83,0,7,7,7,7,7,7,7,7,7,7
CCM,0,72,0,21,21,21,21,21,21,21,21,21,21
CCM,0,61,0,14,14,14,14,14,14,14,14,14,14
CCM,0,50,0,3,3,3,3,3,3,3,3,3,3
CCM,0,87,0,4,4,4,4,4,4,4,4,4,4
CCM,0,76,0,28,28,28,28,28,28,28,28,28,28
CCM,0,65,0,18,18,18,18,18,18,18,18,18,18
CCM,0,54,0,7,7,7,7,7,7,7,7,7,7
CCM,0,91,0,10,10,10,10,10,10,10,10,10,10
CCM,0,80,0,8,8,8,8,8,8,8,8,8,8
CCM,0,69,0,22,22,22,22,22,22,22,22,22,22
CCM,0,58,0,11,11,11,11,11,11,11,11,11,11
CCM,0,95,0,3,3,3,3,3,3,3,3,3,3
CCM,0,84,0,4,4,4,4,4,4,4,4,4,4
CCM,0,73,0,21,21,21,21,21,21,21,21,21,21
CCM,0,62,0,15,15,15,15,15,15,15,15,15,15
CCM,0,51,0,4,4,4,4,4,4,4,4,4,4
CCM,0,88,0,5,5,5,5,5,5,5,5,5,5
CCM,0,77,0,4,4,4,4,4,4,4,4,4,4
CCM,0,66,0,19,19,19,19,19,19,19,19,19,19
CCM,0,55,0,7,7,7,7,7,7,7,7,7,7
CCM,0,92,0,9,9,9,9,9,9,9,9,9,9
CCM,0,81,0,8,8,8,8,8,8,8,8,8,8
CCM,0,70,0,21,21,21,21,21,21,21,21,21,21
CCM,0,59,0,12,12,12,12,12,12,12,12,12,12
CCM,0,133,0,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886
CCM,0,122,0,1859,1859,1859,1859,1859,1859,1859,1859,1859,1859
CCM,0,111,0,1813,1813,1813,1813,1813,1813,1813,1813,1813,1813
CCM,0,100,0,1623,1623,1623,1623,1623,1623,1623,1623,1623,1623
CCM,0,137,0,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891
CCM,0,126,0,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866
CCM,0,115,0,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847
CCM,0,104,0,1719,1719,1719,1719,1719,1719,1719,1719,1719,1719
CCM,0,141,0,1898,1898,1898,1898,1898,1898,1898,1898,1898,1898
CCM,0,130,0,1880,1880,1880,1880,1880,1880,1880,1880,1880,1880
CCM,0,119,0,1852,1852,1852,1852,1852,1852,1852,1852,1852,1852
CCM,0,108,0,1759,1759,1759,1759,1759,1759,1759,1759,1759,1759
CCM,0,134,0,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886
CCM,0,123,0,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861
CCM,0,112,0,1818,1818,1818,1818,1818,1818,1818,1818,1818,1818
CCM,0,101,0,1651,1651,1651,1651,1651,1651,1651,1651,1651,1651
CCM,0,138,0,1892,1892,1892,1892,1892,1892,1892,1892,1892,1892
CCM,0,127,0,1869,1869,1869,1869,1869,1869,1869,1869,1869,1869
CCM,0,116,0,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850
CCM,0,105,0,1726,1726,1726,1726,1726,1726,1726,1726,1726,1726
CCM,0,142,0,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903
CCM,0,131,0,1883,1883,1883,1883,1883,1883,1883,1883,1883,1883
CCM,0,120,0,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854
CCM,0,109,0,1766,1766,1766,1766,1766,1766,1766,1766,1766,1766
CCM,0,98,0,1608,1608,1608,1608,1608,1608,1608,1608,1608,1608
CCM,0,135,0,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887
CCM,0,124,0,1862,1862,1862,1862,1862,1862,1862,1862,1862,1862
CCM,0,113,0,1826,1826,1826,1826,1826,1826,1826,1826,1826,1826
CCM,0,102,0,1667,1667,1667,1667,1667,1667,1667,1667,1667,1667
CCM,0,139,0,1896,1896,1896,1896,1896,1896,1896,1896,1896,1896
CCM,0,128,0,1871,1871,1871,1871,1871,1871,1871,1871,1871,1871
CCM,0,117,0,1851,1851,1851,1851,1851,1851,1851,1851,1851,1851
CCM,0,106,0,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740
CCM,0,143,0,1925,1925,1925,1925,1925,1925,1925,1925,1925,1925
CCM,0,132,0,1884,1884,1884,1884,1884,1884,1884,1884,1884,1884
CCM,0,121,0,1857,1857,1857,1857,1857,1857,1857,1857,1857,1857
CCM,0,110,0,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776
CCM,0,99,0,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611
CCM,0,136,0,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890
CCM,0,125,0,1865,1865,1865,1865,1865,1865,1865,1865,1865,1865
CCM,0,114,0,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847
CCM,0,103,0,1688,1688,1688,1688,1688,1688,1688,1688,1688,1688
CCM,0,140,0,1897,1897,1897,1897,1897,1897,1897,1897,1897,1897
CCM,0,129,0,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878
CCM,0,118,0,1851,1851,1851,1851,1851,1851,1851,1851,1851,1851
CCM,0,107,0,1749,1749,1749,1749,1749,1749,1749,1749,1749,1749
CCM,0,144,0,26,26,26,26,26,26,26,26,26,26
CCM,0,181,0,11,11,11,11,11,11,11,11,11,11
CCM,0,218,0,9,9,9,9,9,9,9,9,9,9
CCM,0,159,0,3,3,3,3,3,3,3,3,3,3
CCM,0,233,0,30,30,30,30,30,30,30,30,30,30
CCM,0,174,0,50,50,50,50,50,50,50,50,50,50
CCM,0,211,0,7,7,7,7,7,7,7,7,7,7
CCM,0,152,0,60,60,60,60,60,60,60,60,60,60
CCM,0,189,0,21,21,21,21,21,21,21,21,21,21
CCM,0,226,0,100,100,100,100,100,100,100,100,100,100
CCM,0,167,0,6,6,6,6,6,6,6,6,6,6
CCM,0,204,0,4,4,4,4,4,4,4,4,4,4
CCM,0,145,0,5,5,5,5,5,5,5,5,5,5
